beginyear,medium,imageurl,hex_color
1475,sculpture,"https://api.nga.gov/iiif/0a4e3991-3524-485f-988a-796dc25f5b83/full/!200,200/0/default.jpg","72, 60, 51"
1592,print,"https://api.nga.gov/iiif/b2ea169d-bab4-4b0e-a371-e72bbd7a5222/full/!200,200/0/default.jpg","227, 217, 198"
1570,print,"https://api.nga.gov/iiif/ef783bfd-592a-44e1-970a-829198672776/full/!200,200/0/default.jpg","114, 103, 89"
1500,sculpture,"https://api.nga.gov/iiif/30b7a453-d8d7-4f41-9a9d-0b9b880f2041/full/!200,200/0/default.jpg","142, 134, 123"
1575,print,"https://api.nga.gov/iiif/76be594a-15e1-4568-af20-f014bb18a44a/full/!200,200/0/default.jpg","180, 166, 152"
1500,sculpture,"https://api.nga.gov/iiif/b9019601-a714-40c3-9071-44dee5b277f3/full/!200,200/0/default.jpg","40, 35, 28"
1564,print,"https://api.nga.gov/iiif/a3671a1c-7f80-4b38-864f-46692211ee0b/full/!200,200/0/default.jpg","151, 123, 94"
1540,print,"https://api.nga.gov/iiif/728179aa-7a78-4055-a094-adf00467fbb1/full/!200,200/0/default.jpg","154, 136, 118"
1529,print,"https://api.nga.gov/iiif/eca129c4-436a-43b6-a4a3-9f2ce2e2bb8f/full/!200,200/0/default.jpg","212, 198, 176"
1506,print,"https://api.nga.gov/iiif/9138b110-9c38-45ee-bdb2-a76ca87df9ce/full/!200,200/0/default.jpg","182, 163, 139"
1592,print,"https://api.nga.gov/iiif/201efe36-9095-46d4-8ac9-d41ae19e4f3a/full/!200,200/0/default.jpg","191, 175, 150"
1525,sculpture,"https://api.nga.gov/iiif/3dcb8b31-6bd5-499e-aa57-d6f5f76cdfd7/full/!200,200/0/default.jpg","83, 59, 38"
1500,sculpture,"https://api.nga.gov/iiif/02d8ab6e-8fe6-446e-8e46-39c104855e8e/full/!200,200/0/default.jpg","52, 40, 28"
1500,decorative art,"https://api.nga.gov/iiif/b20ac551-db15-4e01-babb-f68cde7fe0ea/full/!200,200/0/default.jpg","174, 170, 168"
1510,sculpture,"https://api.nga.gov/iiif/88925b16-a9b8-4a40-807b-ec96c3b2cab5/full/!200,200/0/default.jpg","59, 50, 40"
1500,print,"https://api.nga.gov/iiif/52bc280b-6431-4e80-9223-f91ff66d64f3/full/!200,200/0/default.jpg","177, 166, 149"
1500,print,"https://api.nga.gov/iiif/b42edf59-91aa-4ec4-94e2-8b42afc5da84/full/!200,200/0/default.jpg","166, 174, 169"
1550,sculpture,"https://api.nga.gov/iiif/b0d6504c-83f4-44b7-82eb-7fee2b5c0708/full/!200,200/0/default.jpg","84, 57, 33"
1560,sculpture,"https://api.nga.gov/iiif/d616d470-6884-4aa9-b591-9ff2e1a02267/full/!200,200/0/default.jpg","83, 59, 43"
1575,drawing,"https://api.nga.gov/iiif/93b110f1-b1c7-4b49-9d40-2b8d0f916320/full/!200,200/0/default.jpg","235, 221, 200"
1592,print,"https://api.nga.gov/iiif/038a2026-7d36-4fd6-8357-df518223c5ef/full/!200,200/0/default.jpg","202, 187, 166"
1531,print,"https://api.nga.gov/iiif/ebc0ae47-0f0d-4839-9639-80e83cc29578/full/!200,200/0/default.jpg","146, 129, 109"
1563,print,"https://api.nga.gov/iiif/db1faff4-5b71-47a6-b316-dc06ac951a3d/full/!200,200/0/default.jpg","159, 145, 125"
1592,drawing,"https://api.nga.gov/iiif/eb9569eb-0dd7-4ec3-b5b2-f2c430407757/full/!200,200/0/default.jpg","187, 146, 114"
1521,print,"https://api.nga.gov/iiif/1f733bf5-e7df-491d-8e5e-0e1cd1bb01ef/full/!200,200/0/default.jpg","153, 137, 120"
1500,painting,"https://api.nga.gov/iiif/dd6589b3-550f-4d77-8628-422fa53430b1/full/!200,200/0/default.jpg","94, 87, 68"
1500,sculpture,"https://api.nga.gov/iiif/3ce3fca4-468c-4ee7-8bcd-9b46df1a83ae/full/!200,200/0/default.jpg","47, 43, 38"
1595,print,"https://api.nga.gov/iiif/ac9ae277-2f88-4b62-84c6-340bf1fb47ea/full/!200,200/0/default.jpg","117, 102, 85"
1525,sculpture,"https://api.nga.gov/iiif/fbfb6ace-53ed-41a0-b07d-7e37a476cf4a/full/!200,200/0/default.jpg","106, 85, 65"
1510,print,"https://api.nga.gov/iiif/6871c4e0-c3a8-4307-bda0-8e04e3b529e9/full/!200,200/0/default.jpg","128, 117, 104"
1546,print,"https://api.nga.gov/iiif/3386497d-54a5-4577-a32c-9ab119c86f2c/full/!200,200/0/default.jpg","145, 131, 114"
1567,drawing,"https://api.nga.gov/iiif/c1c681f2-8a72-4b70-bb50-af90e2fb6cc0/full/!200,200/0/default.jpg","126, 126, 111"
1520,print,"https://api.nga.gov/iiif/4c00eb43-0c83-470f-ac11-cee90f2d51c9/full/!200,200/0/default.jpg","176, 162, 140"
1553,print,"https://api.nga.gov/iiif/1bebd604-a44b-44d7-b197-256189093f8c/full/!200,200/0/default.jpg","146, 132, 113"
1553,print,"https://api.nga.gov/iiif/9c2a5e57-d0a0-4531-9a6e-c48ceb26be8b/full/!200,200/0/default.jpg","147, 130, 110"
1595,drawing,"https://api.nga.gov/iiif/b18fac92-5607-4e11-8c4e-3bcedcb70f7f/full/!200,200/0/default.jpg","143, 130, 111"
1550,drawing,"https://api.nga.gov/iiif/442d5650-ad01-4f2e-94a0-b3aefe76ee28/full/!200,200/0/default.jpg","201, 174, 134"
1516,print,"https://api.nga.gov/iiif/4d3dd56a-79e5-4e6a-918b-dfdcbc4627e9/full/!200,200/0/default.jpg","207, 190, 165"
1500,sculpture,"https://api.nga.gov/iiif/18da7552-0a9c-4b97-93d9-3a43e1a40329/full/!200,200/0/default.jpg","54, 47, 41"
1572,print,"https://api.nga.gov/iiif/76229141-fdb9-441d-abed-b3cda9ae41c8/full/!200,200/0/default.jpg","158, 146, 128"
1550,painting,"https://api.nga.gov/iiif/bc6196b4-e6c8-476a-9e37-754e1394eb43/full/!200,200/0/default.jpg","85, 75, 75"
1508,print,"https://api.nga.gov/iiif/2003ebc4-e43f-4b7e-8882-06c353cb7832/full/!200,200/0/default.jpg","157, 142, 126"
1500,sculpture,"https://api.nga.gov/iiif/f9a9b9a0-7cbe-44c6-b7b1-b7cb8e79f316/full/!200,200/0/default.jpg","71, 49, 33"
1567,drawing,"https://api.nga.gov/iiif/6be58968-f6a1-4ec1-a079-2f299cfe2ebf/full/!200,200/0/default.jpg","145, 132, 113"
1589,print,"https://api.nga.gov/iiif/2cfb1d45-9d21-4d1c-8409-185e3d016f5f/full/!200,200/0/default.jpg","131, 118, 101"
1525,sculpture,"https://api.nga.gov/iiif/5ccb1eab-c78a-47ff-a993-b9e9eee88ad4/full/!200,200/0/default.jpg","61, 47, 35"
1514,drawing,"https://api.nga.gov/iiif/4100c5f8-028f-4eee-a808-bb30c5180893/full/!200,200/0/default.jpg","159, 139, 124"
1524,sculpture,"https://api.nga.gov/iiif/105c78b0-2994-410e-b78a-aa871d23d315/full/!200,200/0/default.jpg","69, 49, 32"
1500,sculpture,"https://api.nga.gov/iiif/a988cfd6-d312-4790-b6b8-b76fdbb5e513/full/!200,200/0/default.jpg","74, 67, 61"
1500,sculpture,"https://api.nga.gov/iiif/0fcd71e0-6873-45dd-9932-88c3ce07f942/full/!200,200/0/default.jpg","70, 53, 35"
1500,sculpture,"https://api.nga.gov/iiif/32ab8e45-20c5-4b5a-b307-92efdc3e71c7/full/!200,200/0/default.jpg","54, 45, 37"
1525,sculpture,"https://api.nga.gov/iiif/6e41978c-4f52-4360-829a-394f8f8c6cde/full/!200,200/0/default.jpg","87, 70, 47"
1528,print,"https://api.nga.gov/iiif/5e8aff92-f4b7-4043-bb0b-9f8d4ad1af1b/full/!200,200/0/default.jpg","166, 148, 125"
1512,print,"https://api.nga.gov/iiif/c98be04d-4007-4224-bc43-e17439c4ee02/full/!200,200/0/default.jpg","172, 159, 142"
1500,print,"https://api.nga.gov/iiif/ec9fbb35-fe0b-4de0-aa5d-4988d022aba8/full/!200,200/0/default.jpg","159, 142, 120"
1512,drawing,"https://api.nga.gov/iiif/84b26c88-19a4-4cd7-bca2-e83485a0bbf3/full/!200,200/0/default.jpg","195, 181, 160"
1530,print,"https://api.nga.gov/iiif/475d8cc4-2aac-46e4-be58-b02b12930022/full/!200,200/0/default.jpg","150, 134, 115"
1501,print,"https://api.nga.gov/iiif/00470a1f-dea0-4cca-8e45-464e63f290b4/full/!200,200/0/default.jpg","172, 157, 135"
1505,painting,"https://api.nga.gov/iiif/8375846b-27a0-4618-89a6-e03f2a241988/full/!200,200/0/default.jpg","118, 108, 94"
1589,print,"https://api.nga.gov/iiif/77c61a70-cf45-49cb-ac0b-d7c928d0c67b/full/!200,200/0/default.jpg","147, 133, 117"
1525,sculpture,"https://api.nga.gov/iiif/926e2f4f-8088-4e68-8093-07cdeab3f41c/full/!200,200/0/default.jpg","155, 155, 155"
1518,sculpture,"https://api.nga.gov/iiif/0824dd1f-d25e-4eaa-8c23-91d238d53305/full/!200,200/0/default.jpg","73, 53, 39"
1500,sculpture,"https://api.nga.gov/iiif/3bc6aa71-6dc7-4125-acc7-571b9a346c7e/full/!200,200/0/default.jpg","154, 154, 152"
1500,sculpture,"https://api.nga.gov/iiif/a7fc84f8-c239-4c5f-ac45-1f43f368c269/full/!200,200/0/default.jpg","73, 67, 53"
1500,print,"https://api.nga.gov/iiif/68027241-3979-418c-9e2b-61d850f06854/full/!200,200/0/default.jpg","150, 135, 116"
1500,drawing,"https://api.nga.gov/iiif/153a175b-c173-450e-b76f-0dc6052ff022/full/!200,200/0/default.jpg","184, 156, 121"
1545,sculpture,"https://api.nga.gov/iiif/e7bbb280-80a3-45e4-84d0-36380caa386e/full/!200,200/0/default.jpg","47, 45, 42"
1500,print,"https://api.nga.gov/iiif/f13f0bee-2c8b-419c-92ed-aab4882c5eb7/full/!200,200/0/default.jpg","223, 200, 166"
