beginyear,vibrant,LightVibrant,closest_color,Muted,LightMuted,DarkMuted,Image URL
1400,#b0713c,#e8bd75,#842818,#93764f,#b29a78,#71624a,"https://api.nga.gov/iiif/c9c0f26e-a559-43ab-b517-0384e347ade8/full/!200,200/0/default.jpg"
1400,#c6864f,#e6c792,#6c4c18,#97875d,#b89c70,#5a4931,"https://api.nga.gov/iiif/789d7bcb-9bb2-4fdc-b049-1c9e8ebcce51/full/!200,200/0/default.jpg"
1400,#eca21a,#f4bc5c,#173c60,#a88a5a,#bfa282,#6f5946,"https://api.nga.gov/iiif/2fb43ee0-b4bb-4fea-9868-f265225b18c4/full/!200,200/0/default.jpg"
1400,#cc995c,#deb070,#6f4e2d,#a78059,#c5a982,#325163,"https://api.nga.gov/iiif/c8b1d4e8-28ab-4794-9fed-c9af978cb818/full/!200,200/0/default.jpg"
1400,#b48454,#cd9d61,#743b26,#a4784c,#af8c6f,#7a593a,"https://api.nga.gov/iiif/40067869-f92c-459c-9808-2d3ae3009311/full/!200,200/0/default.jpg"
1410,#c2873a,#daa66d,#6c400c,#ac804c,#b59269,#5a4528,"https://api.nga.gov/iiif/82e62b74-1316-4ed3-9bf2-504e3939edec/full/!200,200/0/default.jpg"
1413,#e4b170,#e9be7d,#6c340e,#a98d5f,#c2b49e,#444140,"https://api.nga.gov/iiif/02e91ca8-f02b-4ca7-bb23-49d640cc02f4/full/!200,200/0/default.jpg"
1415,#bf7e3f,#f4c474,#ac682c,#a47b57,#ceae97,#947451,"https://api.nga.gov/iiif/1632458b-c6b1-43f5-802d-db2f6cb1fe03/full/!200,200/0/default.jpg"
1415,#b4835a,#ceae95,#8c5c3c,#ac7c55,#d4c4b4,#5a4a35,"https://api.nga.gov/iiif/36a5f5ef-732d-43aa-b4e6-ee6865fcd221/full/!200,200/0/default.jpg"
1415,#cf6249,#d0ab7f,#a44536,#ab8456,#dcccbc,#926e4e,"https://api.nga.gov/iiif/fc84cac8-bdcf-4d3c-a6dc-e4bd0371af3b/full/!200,200/0/default.jpg"
1415,#b85d43,#dfaf72,#964c3c,#ac8458,#ceb098,#37362d,"https://api.nga.gov/iiif/189d05f0-c290-4d93-bc8f-a93ec02b17c3/full/!200,200/0/default.jpg"
1420,#d1a859,#ecd48c,#4c2823,#ac8c4c,#e4dcc4,#442424,"https://api.nga.gov/iiif/ce4d7f93-8bcf-4f88-a9c1-bea5c5a9b425/full/!200,200/0/default.jpg"
1423,#b8761b,#eca47c,#814021,#a49165,#c4b486,#59402a,"https://api.nga.gov/iiif/955ee859-1172-48d6-b5b3-189857de82f0/full/!200,200/0/default.jpg"
1425,#9d6232,#d4b484,#711814,#bb8963,#c2a18a,#3c3521,"https://api.nga.gov/iiif/25b31b7c-4edd-4b43-9bb8-c0497aed8a4d/full/!200,200/0/default.jpg"
1430,#a46927,#bf9a61,#6c2809,#9b7c4a,,,"https://api.nga.gov/iiif/e64daf38-38e8-4d0c-acb2-8ff370cc188c/full/!200,200/0/default.jpg"
1430,#d49424,#b59a64,#692309,#a9845c,,,"https://api.nga.gov/iiif/25119c6b-17c0-4daa-8589-dfcf2d041b4f/full/!200,200/0/default.jpg"
1430,#ad663d,#d19c4f,#062b39,#a98654,,,"https://api.nga.gov/iiif/a79828c0-776e-492c-a89d-cd2f7dabeadd/full/!200,200/0/default.jpg"
1430,#c0903f,#d3c89a,#a0670e,#9f8459,#bbb48d,#37516c,"https://api.nga.gov/iiif/6cdc6222-4662-4ae2-8609-7ccbb695f0fa/full/!200,200/0/default.jpg"
1432,#7c6634,,#7c6634,,,,"https://api.nga.gov/iiif/f7d5354b-f6bc-44a3-8403-07f609a4c743/full/!200,200/0/default.jpg"
1434,#8c6742,,#8c6742,,,,"https://api.nga.gov/iiif/46633bd6-4834-40fb-8ce0-fb975c731dc1/full/!200,200/0/default.jpg"
