beginyear,Vibrant,LightVibrant,DarkVibrant,Muted,LightMuted,DarkMuted,imageurl,beginyear_x,Vibrant_x,LightVibrant_x,DarkVibrant_x,Muted_x,LightMuted_x,DarkMuted_x,beginyear_y,Vibrant_y,LightVibrant_y,DarkVibrant_y,Muted_y,LightMuted_y,DarkMuted_y,Closest_Web_Color_Hex,hex_color
1500,#b77547,#ddc8b4,#2c1c11,#a19181,#c4c4c4,#47382a,"https://api.nga.gov/iiif/538fa971-ea6d-45e9-b1ae-10fd25b86b8f/full/!800,800/0/default.jpg",1500,#b77547,#ddc8b4,#2c1c11,#a19181,#c4c4c4,#47382a,1500,#b77547,#ddc8b4,#2c1c11,#a19181,#c4c4c4,#47382a,#cd853f,"(205, 133, 63)"
1500,#b99952,#e2d59a,#64461c,#957954,,,"https://api.nga.gov/iiif/b3c7201e-d42d-4c1c-b789-e63b05169081/full/!800,800/0/default.jpg",1500,#b99952,#e2d59a,#64461c,#957954,,,1500,#b99952,#e2d59a,#64461c,#957954,,,#cd853f,"(205, 133, 63)"
1500,#956c34,#d1b38d,#6c4414,#9d794e,#b4946f,#574632,"https://api.nga.gov/iiif/e9709a6f-8068-49f4-975b-19a79838e3a2/full/!800,800/0/default.jpg",1500,#956c34,#d1b38d,#6c4414,#9d794e,#b4946f,#574632,1500,#956c34,#d1b38d,#6c4414,#9d794e,#b4946f,#574632,#a0522d,"(160, 82, 45)"
1500,#b17443,#ecce9e,#87271f,#a79064,#ad9a74,#534329,"https://api.nga.gov/iiif/b74c5e03-5803-4767-943c-63d22706885e/full/!800,800/0/default.jpg",1500,#b17443,#ecce9e,#87271f,#a79064,#ad9a74,#534329,1500,#b17443,#ecce9e,#87271f,#a79064,#ad9a74,#534329,#cd853f,"(205, 133, 63)"
1500,#9e6f44,#d5b491,#5e3c1c,#a98b6e,#d7c2ac,#694935,"https://api.nga.gov/iiif/5c2108f5-bb3a-4d56-8571-22540c8fabb1/full/!800,800/0/default.jpg",1500,#9e6f44,#d5b491,#5e3c1c,#a98b6e,#d7c2ac,#694935,1500,#9e6f44,#d5b491,#5e3c1c,#a98b6e,#d7c2ac,#694935,#a0522d,"(160, 82, 45)"
1500,#b44738,#dbcdb2,#294058,#9c876f,#ccb494,#6d4f3e,"https://api.nga.gov/iiif/f5e5b4c4-ec5e-4165-a03b-48c7887e2f3c/full/!800,800/0/default.jpg",1500,#b44738,#dbcdb2,#294058,#9c876f,#ccb494,#6d4f3e,1500,#b44738,#dbcdb2,#294058,#9c876f,#ccb494,#6d4f3e,#a0522d,"(160, 82, 45)"
1500,#a96b49,#cb9174,#6f3c1c,#8c8c8b,#b4b3b3,#48342c,"https://api.nga.gov/iiif/c8048309-1318-4442-975a-41617ef098fe/full/!800,800/0/default.jpg",1500,#a96b49,#cb9174,#6f3c1c,#8c8c8b,#b4b3b3,#48342c,1500,#a96b49,#cb9174,#6f3c1c,#8c8c8b,#b4b3b3,#48342c,#a0522d,"(160, 82, 45)"
1500,#a4743c,#d4ac88,#754414,#ac8760,#d2ba9d,#523c34,"https://api.nga.gov/iiif/b017c875-faf0-4494-ae54-7b7a08b3940a/full/!800,800/0/default.jpg",1500,#a4743c,#d4ac88,#754414,#ac8760,#d2ba9d,#523c34,1500,#a4743c,#d4ac88,#754414,#ac8760,#d2ba9d,#523c34,#a0522d,"(160, 82, 45)"
1500,#bc640d,#e4b988,#984f0b,#a87e5b,#b28c74,#8e6141,"https://api.nga.gov/iiif/5ee65d0c-2423-4dda-8803-ee70570d1a4a/full/!800,800/0/default.jpg",1500,#bc640d,#e4b988,#984f0b,#a87e5b,#b28c74,#8e6141,1500,#bc640d,#e4b988,#984f0b,#a87e5b,#b28c74,#8e6141,#d2691e,"(210, 105, 30)"
1500,#a4642e,#d6b494,#6c4a2c,#a67650,#c6aea3,#513d2a,"https://api.nga.gov/iiif/936a387c-43ad-478b-a815-b920a0517b5b/full/!800,800/0/default.jpg",1500,#a4642e,#d6b494,#6c4a2c,#a67650,#c6aea3,#513d2a,1500,#a4642e,#d6b494,#6c4a2c,#a67650,#c6aea3,#513d2a,#a0522d,"(160, 82, 45)"
