beginyear,medium,imageurl
1500,sculpture,"https://api.nga.gov/iiif/d6051915-07ef-4b6c-8297-5b8ed03d2d9b/full/!200,200/0/default.jpg"
1889,print,"https://api.nga.gov/iiif/c1b2956e-00cf-4fbd-ac55-933b2565b591/full/!200,200/0/default.jpg"
1895,drawing,"https://api.nga.gov/iiif/ad2c707b-0484-4417-96c9-8e96915c2b0c/full/!200,200/0/default.jpg"
1600,decorative art,"https://api.nga.gov/iiif/cf589806-d558-47fe-9379-46282b45e14e/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/e3ace185-f607-4f71-b5c0-aa5e0e983cf2/full/!200,200/0/default.jpg"
1849,volume,"https://api.nga.gov/iiif/78defc95-0c0d-47cb-80e5-d182220e2e94/full/!200,200/0/default.jpg"
1800,photograph,"https://api.nga.gov/iiif/fa3fff48-34a2-49bb-ad58-467d41befb4d/full/!200,200/0/default.jpg"
1890,drawing,"https://api.nga.gov/iiif/ffeaf916-4af3-4136-b073-2501a3c4db97/full/!200,200/0/default.jpg"
1890,photograph,"https://api.nga.gov/iiif/e2032a7f-4a27-499b-9d7d-4c6056468ac2/full/!200,200/0/default.jpg"
1880,print,"https://api.nga.gov/iiif/3ecb8171-b262-4e9b-bc90-3649c97ab998/full/!200,200/0/default.jpg"
1635,print,"https://api.nga.gov/iiif/baf7d892-7448-4ef7-9344-7d77e21d7a84/full/!200,200/0/default.jpg"
1592,print,"https://api.nga.gov/iiif/948a22d9-5d9a-45d9-947c-b71c022b5a64/full/!200,200/0/default.jpg"
1500,print,"https://api.nga.gov/iiif/eab661b3-9f50-4fdb-a9c2-26cfbbfa7c84/full/!200,200/0/default.jpg"
1886,print,"https://api.nga.gov/iiif/d082dcca-9ec2-4773-93fb-128360897d66/full/!200,200/0/default.jpg"
1884,drawing,"https://api.nga.gov/iiif/8340e83b-b36f-4a91-b7aa-4e43edad7070/full/!200,200/0/default.jpg"
1884,drawing,"https://api.nga.gov/iiif/db40b69c-7746-485a-9ccc-7e8c7e937210/full/!200,200/0/default.jpg"
1800,drawing,"https://api.nga.gov/iiif/b14479b2-dab0-4c1c-9c48-96fe2b3e88d1/full/!200,200/0/default.jpg"
1895,print,"https://api.nga.gov/iiif/ee036389-b6fd-4f63-8774-fb9f9942978f/full/!200,200/0/default.jpg"
1778,drawing,"https://api.nga.gov/iiif/b895b860-bf0d-4613-89a1-1d4424d67401/full/!200,200/0/default.jpg"
1896,portfolio,"https://api.nga.gov/iiif/cf90cc73-6c78-4030-836b-863f622767d7/full/!200,200/0/default.jpg"
1887,drawing,"https://api.nga.gov/iiif/8ca0e788-8e2f-4774-b7f3-96fc7be72926/full/!200,200/0/default.jpg"
1899,print,"https://api.nga.gov/iiif/b0e36e27-6d4e-4d0c-a646-2d18253abed5/full/!200,200/0/default.jpg"
1894,photograph,"https://api.nga.gov/iiif/280ae8ea-fa2b-48fa-9a71-b05980bc90d4/full/!200,200/0/default.jpg"
1865,photograph,"https://api.nga.gov/iiif/c27652a8-125b-4bf4-9179-7ee84d2f7640/full/!200,200/0/default.jpg"
1894,photograph,"https://api.nga.gov/iiif/f123225f-7165-4803-a653-aa08f0e6f76c/full/!200,200/0/default.jpg"
1887,print,"https://api.nga.gov/iiif/39a5a12c-55f1-4a10-9b5b-cdd6ed012209/full/!200,200/0/default.jpg"
1796,volume,"https://api.nga.gov/iiif/c22a30c2-4af7-4b8e-8b87-ab340046a3e4/full/!200,200/0/default.jpg"
1825,painting,"https://api.nga.gov/iiif/a479736f-542b-4c45-ba02-06f98ec448e1/full/!200,200/0/default.jpg"
1540,sculpture,"https://api.nga.gov/iiif/99ba2597-2274-4171-a922-c5400e3803ed/full/!200,200/0/default.jpg"
1825,print,"https://api.nga.gov/iiif/f1533634-5e9d-4982-9672-86152d0ace85/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/051ecd5f-8d63-4640-89f8-8e6c98aa496f/full/!200,200/0/default.jpg"
1876,drawing,"https://api.nga.gov/iiif/0331e86a-ed34-4985-9123-4e2c104c8b64/full/!200,200/0/default.jpg"
1883,print,"https://api.nga.gov/iiif/a7e1a6fe-f1bd-40e4-a099-ff997257d282/full/!200,200/0/default.jpg"
1890,painting,"https://api.nga.gov/iiif/a65b56d8-7ae7-4a80-a84a-5a9dd7c13ea7/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/6aa7e650-5677-41b4-be1b-cedcc4169320/full/!200,200/0/default.jpg"
1864,photograph,"https://api.nga.gov/iiif/19b6f931-f229-4c3f-b798-38852471e7ab/full/!200,200/0/default.jpg"
1890,sculpture,"https://api.nga.gov/iiif/de53a672-cbc7-476d-b552-b4369230f887/full/!200,200/0/default.jpg"
1900,print,"https://api.nga.gov/iiif/7a2743c7-03b7-4377-9688-ddec90cf8513/full/!200,200/0/default.jpg"
1647,print,"https://api.nga.gov/iiif/386e8663-13ee-4ff0-9a9a-bbc1d2fe342c/full/!200,200/0/default.jpg"
1803,painting,"https://api.nga.gov/iiif/63a9f1f4-2581-4bfc-8015-5bfc6fa626b6/full/!200,200/0/default.jpg"
1886,print,"https://api.nga.gov/iiif/ee4a22a1-4258-4423-ae1a-e08bb23f292b/full/!200,200/0/default.jpg"
1894,photograph,"https://api.nga.gov/iiif/53c330f7-f1b2-4096-b714-8fab37c020da/full/!200,200/0/default.jpg"
1592,print,"https://api.nga.gov/iiif/6a6f525c-ad14-4f12-af31-42914f6fb808/full/!200,200/0/default.jpg"
1633,print,"https://api.nga.gov/iiif/c47ca71a-9186-4a70-a313-383b92218af8/full/!200,200/0/default.jpg"
1836,drawing,"https://api.nga.gov/iiif/d60e84fd-f910-429f-b074-95d90669ce8f/full/!200,200/0/default.jpg"
1845,painting,"https://api.nga.gov/iiif/cba69cdf-4503-4439-9be3-93706a0f27db/full/!200,200/0/default.jpg"
1662,decorative art,"https://api.nga.gov/iiif/76df51cb-7d7e-4a4d-979c-21b34d88d69f/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/7fae070d-309d-44fa-ac5c-b62d373297e7/full/!200,200/0/default.jpg"
1887,print,"https://api.nga.gov/iiif/78ffed2a-7051-47ec-b14c-5adc7dc8eef8/full/!200,200/0/default.jpg"
1500,print,"https://api.nga.gov/iiif/4879ecd7-f20a-4c80-8a83-abfa2c1f379b/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/3d35f997-673f-4436-a6b6-e84089c3bcc2/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/11f46058-971d-47fe-9e0f-763722f5027d/full/!200,200/0/default.jpg"
1894,print,"https://api.nga.gov/iiif/d0ec30a0-816b-4740-b6b7-0fc5852006c1/full/!200,200/0/default.jpg"
1880,volume,"https://api.nga.gov/iiif/f87d4377-2205-4d67-9ecc-a38f8c8efb20/full/!200,200/0/default.jpg"
1600,drawing,"https://api.nga.gov/iiif/f0237659-5bb7-4259-961f-45977e0e44cf/full/!200,200/0/default.jpg"
1890,print,"https://api.nga.gov/iiif/2df9cb71-485a-48d0-b72a-fb07480c7459/full/!200,200/0/default.jpg"
1800,decorative art,"https://api.nga.gov/iiif/62b4e6e0-832d-44d6-904a-365dd0409dd5/full/!200,200/0/default.jpg"
1500,print,"https://api.nga.gov/iiif/ca546f40-16f1-4d23-8906-fc6b7ce31d52/full/!200,200/0/default.jpg"
1856,print,"https://api.nga.gov/iiif/3333521b-189a-48ea-91ec-6d335637dd6d/full/!200,200/0/default.jpg"
1800,drawing,"https://api.nga.gov/iiif/2bb1348f-6595-4109-a381-7b4aabc74661/full/!200,200/0/default.jpg"
1887,print,"https://api.nga.gov/iiif/2847d3fd-7d57-4d78-be55-48f20dac6ad8/full/!200,200/0/default.jpg"
1839,print,"https://api.nga.gov/iiif/10cdde1c-6b3a-4983-b79e-45af81a91180/full/!200,200/0/default.jpg"
1731,print,"https://api.nga.gov/iiif/db480cce-f48b-4cf1-ad83-b8be8ff72d25/full/!200,200/0/default.jpg"
1880,print,"https://api.nga.gov/iiif/c556bb9e-0995-4328-a49c-c01f2a02fd1a/full/!200,200/0/default.jpg"
1863,photograph,"https://api.nga.gov/iiif/feaf5a7a-2b72-4fee-a60b-335827c3b397/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/4aa605e2-df26-4782-a8c4-9928a6582016/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/e65853f2-694a-421f-b955-919e11c825c6/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/129fb69e-1ace-4d0f-ad72-ab78623c7e22/full/!200,200/0/default.jpg"
