year,color
1400,#84d87c
1400,#b4a048
1401,#a84c84
1401,#74c4a0
1401,#a8c458
1401,#2c743c
1401,#c09858
1402,#9854c0
1402,#ccb494
1403,#70b054
1452,#cca071
1453,#c05ca0
1453,#cd8d54
1453,#a0c454
1453,#c45ca8
1454,#a89c40
1454,#cccc58
1454,#90b050
1455,#cc6c58
1455,#c85450
1455,#b84c34
1456,#ad7f51
1457,#c9937a
1458,#ac4480
1458,#d4ac7c
1459,#cfad71
1459,#c5ab61
1459,#a060c4
1460,#c7a784
1460,#c04cb4
1460,#78cc60
1461,#7cd068
1461,#c87468
1463,#d89060
1464,#c79154
1464,#c0584c
1464,#c0984d
1464,#d4b064
1464,#bcb44c
1464,#68b85c
1464,#e064e4
1464,#ac7c44
1465,#c4a684
1465,#b47460
1465,#dcc187
1466,#4ca03c
1466,#deb957
1466,#be6470
1467,#ee8c57
1467,#bf6f3f
1467,#cc4444
1467,#ac9034
1468,#a058b4
1468,#f4a424
1469,#78b0c4
1469,#88ccd0
1470,#984480
1470,#708c3c
1471,#ccb58c
1471,#bc3c28
1471,#c4a474
1471,#c86c64
1471,#b45048
1471,#2c28a8
1471,#844434
1472,#cca474
1472,#ceb48c
1472,#b0a450
1472,#ac7850
1472,#bc58b0
1472,#ac5040
1472,#ccb28e
1473,#cc5890
1473,#4684b6
1474,#c4ac84
1474,#9eb73c
1476,#bc7c6c
1476,#d88070
1476,#68ccc4
1476,#94accc
1476,#c4a874
1477,#b46454
1477,#a8c060
1478,#b04838
1478,#bc7922
1478,#aca034
1478,#bc584c
1480,#bc5c4c
1480,#e0a949
1480,#ccb494
1480,#a4c878
1480,#342878
1481,#ac4c8c
1481,#783894
1481,#8cacc8
1482,#78c058
1482,#b8884c
1483,#bfa95e
1484,#b47c24
1484,#ac4c3c
1484,#70c05c
1484,#74343c
1484,#056bc7
1484,#b44844
1484,#d38a6b
1485,#c47c7c
1486,#e4a864
1486,#b45894
1486,#ccb48c
1487,#ac4890
1487,#58bc50
1487,#9b4843
1487,#ac3444
1487,#a47630
1487,#c48448
1487,#c0ac50
1487,#c4a67b
1487,#d9b484
1487,#94743c
1488,#946c44
1489,#bc5ca4
1489,#ef4956
1489,#b4a05c
1489,#cc5328
1490,#58ac44
1491,#c86860
1491,#b06458
1491,#446c9c
1492,#bc946c
1493,#d8d06c
1494,#c44898
1494,#98783c
1494,#68c05c
1494,#7c2c34
1494,#dcb878
1494,#ac7141
1494,#38a0b0
1495,#88ac48
1495,#bfad3f
1495,#b4945c
1496,#d2bc84
1496,#b8c05c
1496,#dcc467
1496,#d07064
1497,#6458b0
1497,#e0b854
1497,#b46050
1497,#746431
1497,#d4b070
1497,#a0c858
1497,#c64806
1498,#84bc48
1498,#84613c
1498,#b46a42
1498,#64bc54
1498,#b48448
1498,#ccac82
1499,#ceb48c
1500,#ccc464
1500,#9c5444
1500,#e0b060
1501,#484088
1501,#6cc458
1501,#d47c68
1502,#bcac4c
1502,#8044a0
1503,#ccb494
1503,#38718c
1504,#c85450
1504,#80b03c
