year,Primary Color
1430,#a46927
1423,#b8761b
1450,#a16a3c
1450,#994345
1410,#c2873a
1434,#8c6742
1450,#785135
1425,#845c38
1442,#a7714c
1400,#b0713c
1400,#c6864f
1445,#dcab56
1445,#f0b445
1445,#c98e49
1445,#9c401c
1445,#ae7052
1445,#b38d5b
1435,#c88834
1430,#d49424
1430,#ad663d
1435,#b18f5c
1420,#d1a859
1450,#c64411
1425,#ca390d
1445,#b4644c
1440,#a2693b
1446,#3f3fbf
1446,#946c44
1450,#bf9f3f
1450,#bf7f3f
1400,#ac7f52
1400,#b18b4d
1400,#bf3f3f
1450,#b0844c
1450,#a8743c
1450,#b78747
1450,#b48c4c
1410,#d4c05c
1450,#b88148
1446,#808834
1450,#b87cc8
1435,#7a5c3a
1450,#b67748
1450,#b87646
1441,#c57f39
1446,#bf9f3f
1441,#6e4d34
1450,#bf3f3f
1404,#a07834
1450,#b77747
1450,#bc9767
1450,#9c3878
1450,#b57f49
1400,#607824
1400,#6f5434
1400,#6c5234
1400,#3fbfbf
1400,#d529a4
1450,#bc8040
1425,#b4744a
1425,#80803c
1450,#b87f46
1400,#94723b
1400,#2c309c
1440,#b0c458
1450,#d4786c
1445,#6cb450
1445,#bc5c4c
1445,#c05c48
1445,#7cbc58
1445,#ccb494
1445,#c4c054
1445,#d48060
1445,#d0d878
1400,#d470a4
1400,#c88ca0
1450,#ccb494
1450,#c8b458
1450,#ba9560
1440,#e8c969
1440,#b67a65
1450,#a16e4b
1450,#bc7c5c
1450,#c7a571
1450,#c8aa7a
1425,#ecbc40
1450,#984d2c
1425,#dfa57f
1425,#f1c959
1425,#cba75c
1425,#e2bc55
1449,#d5b48c
1440,#c27b67
1450,#c99e72
1450,#c19263
1450,#a44436
1450,#942c27
1440,#ae684e
1400,#c4a579
1410,#bc9971
1450,#dcad76
1450,#b1292e
1450,#a57c41
1440,#b97259
1440,#b9986a
1450,#bc5a4f
1450,#e26f3c
1450,#be956c
1450,#d3906e
1450,#af383a
1450,#ccad7a
1450,#ba9568
1440,#af7958
1450,#e4b454
1450,#a8b04c
1400,#c4ac83
1430,#b8914b
1450,#bc9a6a
1400,#cca579
1450,#9b6629
1440,#bf966f
1450,#b2634a
1400,#d46c3c
1450,#b8956b
1430,#cea978
1400,#b46c4c
1450,#b47c54
1450,#bfa479
1440,#cba541
1440,#c6a375
1400,#c0a870
1400,#c8b070
1450,#a84088
1450,#c8d468
1450,#bc589c
1450,#58ac3c
1450,#b8483c
1442,#c8b054
1442,#c05ca4
1450,#e8c878
1450,#c460a8
1450,#bc5c9c
1450,#c86c5c
1450,#c460a4
1450,#c4b044
1450,#bca844
1450,#c85848
1440,#c7a061
1440,#c0a448
1440,#b44c40
1440,#c4ac4c
1440,#c4ac64
1440,#ccb07c
1450,#d0dc68
1450,#e474b8
1435,#b48a5a
1435,#ac7e4f
1413,#e4b170
1435,#c49156
1445,#8c5440
1400,#a46c4d
1425,#a5804a
1450,#c05048
1450,#c45ca4
1442,#88c064
1400,#a85444
1445,#e4e070
1409,#295fa1
1445,#ceb694
1450,#c4a47c
1425,#c96e51
1425,#ac7444
1425,#d47c5c
1425,#b8875a
1440,#cc5c44
1450,#ceb181
1400,#dda65b
1440,#b0b054
1430,#a9703b
1400,#a89844
1450,#d0a977
1450,#bea378
1410,#c1624f
1415,#bf7e3f
1415,#b4835a
1415,#cf6249
1450,#ad8a51
1440,#ac543c
1400,#ecc971
1440,#80b858
1440,#c48060
1410,#419c6e
1442,#ccb858
1400,#c6a684
1440,#b27a4f
1438,#ac654a
1445,#d74f31
1425,#9d6232

