beginyear,hex_color,imageurl
1450,#a85448,"https://api.nga.gov/iiif/5060ae64-0bdd-4f76-b403-12c6a7c99342/full/!200,200/0/default.jpg"
1453,#6cc0b0,"https://api.nga.gov/iiif/e5941df4-88d5-4a93-a816-dfb2839413bd/full/!200,200/0/default.jpg"
1466,#70347c,"https://api.nga.gov/iiif/9a20d053-e2f6-493a-a9b1-79f4d9ee6eb0/full/!200,200/0/default.jpg"
1470,#845c34,"https://api.nga.gov/iiif/323bb856-ef02-4e1f-940a-08673c21145f/full/!200,200/0/default.jpg"
1483,#449490,"https://api.nga.gov/iiif/92fcc267-407d-4292-bd1f-9386254517f8/full/!200,200/0/default.jpg"
1415,#b8a450,"https://api.nga.gov/iiif/e611d2d2-4b18-448a-b3b8-be77a46068b7/full/!200,200/0/default.jpg"
1428,#9c3c80,"https://api.nga.gov/iiif/2b07b0c9-b23b-4e3c-82c1-d0bc421bccdb/full/!200,200/0/default.jpg"
1438,#8c8024,"https://api.nga.gov/iiif/643eca21-b0a7-4a0c-9cb4-7523cd5d251a/full/!200,200/0/default.jpg"
1477,#6c4c34,"https://api.nga.gov/iiif/59f45a9d-5fb8-4beb-a52a-6f0395d95bc0/full/!200,200/0/default.jpg"
1457,#a43b26,"https://api.nga.gov/iiif/a34b93be-3903-47a5-a8ea-4915003a7ac4/full/!200,200/0/default.jpg"
1453,#d07874,"https://api.nga.gov/iiif/8be9137c-8e17-4ff2-98e6-8246ab7496e9/full/!200,200/0/default.jpg"
1497,#dcc888,"https://api.nga.gov/iiif/da21bb81-7441-4271-8004-8cd936426015/full/!200,200/0/default.jpg"
1474,#60a848,"https://api.nga.gov/iiif/d0d4fc4b-643e-4718-bfaf-a7ff52dcecfa/full/!200,200/0/default.jpg"
1411,#d4b887,"https://api.nga.gov/iiif/84277e1c-6d1a-4557-9c8b-6e131d59750e/full/!200,200/0/default.jpg"
1471,#ccac92,"https://api.nga.gov/iiif/3c48cda3-48e8-4b37-8361-2549ff6b84e6/full/!200,200/0/default.jpg"
1453,#d0c870,"https://api.nga.gov/iiif/3935eb42-d65a-4501-9ef1-bf2a48315a06/full/!200,200/0/default.jpg"
1491,#c0689c,"https://api.nga.gov/iiif/e2563500-603a-49a5-86a2-dc81a977d4c3/full/!200,200/0/default.jpg"
1415,#cf9a61,"https://api.nga.gov/iiif/92c3ca05-2878-4152-856e-5ce764defe51/full/!200,200/0/default.jpg"
1415,#bc5048,"https://api.nga.gov/iiif/7d08c545-b4dd-4848-9ca9-ff4652a4b096/full/!200,200/0/default.jpg"
1471,#d49e1c,"https://api.nga.gov/iiif/dd74e0ff-9301-4622-b473-35160331a0e9/full/!200,200/0/default.jpg"
1420,#60b498,"https://api.nga.gov/iiif/fa3a5e48-29e6-4f27-bc3d-f6616eccd353/full/!200,200/0/default.jpg"
1464,#c07094,"https://api.nga.gov/iiif/3042d3d0-1e65-4ddc-9a42-af6bda01a06a/full/!200,200/0/default.jpg"
