beginyear,hex_color,imageurl,closest_color
1400,#b0713c,"https://api.nga.gov/iiif/c9c0f26e-a559-43ab-b517-0384e347ade8/full/!200,200/0/default.jpg",#cd853f
1400,#c6864f,"https://api.nga.gov/iiif/789d7bcb-9bb2-4fdc-b049-1c9e8ebcce51/full/!200,200/0/default.jpg",#cd853f
1400,#eca21a,"https://api.nga.gov/iiif/2fb43ee0-b4bb-4fea-9868-f265225b18c4/full/!200,200/0/default.jpg",#daa520
1400,#cc995c,"https://api.nga.gov/iiif/c8b1d4e8-28ab-4794-9fed-c9af978cb818/full/!200,200/0/default.jpg",#cd853f
1400,#b48454,"https://api.nga.gov/iiif/40067869-f92c-459c-9808-2d3ae3009311/full/!200,200/0/default.jpg",#cd853f
1410,#c2873a,"https://api.nga.gov/iiif/82e62b74-1316-4ed3-9bf2-504e3939edec/full/!200,200/0/default.jpg",#cd853f
1413,#e4b170,"https://api.nga.gov/iiif/02e91ca8-f02b-4ca7-bb23-49d640cc02f4/full/!200,200/0/default.jpg",#deb887
1415,#bf7e3f,"https://api.nga.gov/iiif/1632458b-c6b1-43f5-802d-db2f6cb1fe03/full/!200,200/0/default.jpg",#cd853f
1415,#b4835a,"https://api.nga.gov/iiif/36a5f5ef-732d-43aa-b4e6-ee6865fcd221/full/!200,200/0/default.jpg",#cd853f
1415,#cf6249,"https://api.nga.gov/iiif/fc84cac8-bdcf-4d3c-a6dc-e4bd0371af3b/full/!200,200/0/default.jpg",#cd5c5c
1415,#b85d43,"https://api.nga.gov/iiif/189d05f0-c290-4d93-bc8f-a93ec02b17c3/full/!200,200/0/default.jpg",#cd5c5c
1420,#d1a859,"https://api.nga.gov/iiif/ce4d7f93-8bcf-4f88-a9c1-bea5c5a9b425/full/!200,200/0/default.jpg",#bdb76b
1423,#b8761b,"https://api.nga.gov/iiif/955ee859-1172-48d6-b5b3-189857de82f0/full/!200,200/0/default.jpg",#b8860b
1425,#9d6232,"https://api.nga.gov/iiif/25b31b7c-4edd-4b43-9bb8-c0497aed8a4d/full/!200,200/0/default.jpg",#a0522d
1430,#a46927,"https://api.nga.gov/iiif/e64daf38-38e8-4d0c-acb2-8ff370cc188c/full/!200,200/0/default.jpg",#a0522d
1430,#d49424,"https://api.nga.gov/iiif/25119c6b-17c0-4daa-8589-dfcf2d041b4f/full/!200,200/0/default.jpg",#daa520
1430,#ad663d,"https://api.nga.gov/iiif/a79828c0-776e-492c-a89d-cd2f7dabeadd/full/!200,200/0/default.jpg",#a0522d
1430,#c0903f,"https://api.nga.gov/iiif/6cdc6222-4662-4ae2-8609-7ccbb695f0fa/full/!200,200/0/default.jpg",#cd853f
1432,#7c6634,"https://api.nga.gov/iiif/f7d5354b-f6bc-44a3-8403-07f609a4c743/full/!200,200/0/default.jpg",#556b2f
1434,#8c6742,"https://api.nga.gov/iiif/46633bd6-4834-40fb-8ce0-fb975c731dc1/full/!200,200/0/default.jpg",#a0522d
1435,#c88834,"https://api.nga.gov/iiif/19b78825-fea7-4eb3-a6de-1ae0939e7769/full/!200,200/0/default.jpg",#cd853f
1435,#b18f5c,"https://api.nga.gov/iiif/52e1fbca-3b66-40da-9f6c-a8d8de0ba0e5/full/!200,200/0/default.jpg",#cd853f
1435,#b48a5a,"https://api.nga.gov/iiif/8224d480-6fb8-420c-b23d-9a2f0ab2d1b0/full/!200,200/0/default.jpg",#cd853f
1435,#ac7e4f,"https://api.nga.gov/iiif/dce3b3b6-834c-4622-afdd-bde660d9b4b5/full/!200,200/0/default.jpg",#cd853f
1435,#c49156,"https://api.nga.gov/iiif/663949e0-a99e-497e-8f26-b337eaaea9de/full/!200,200/0/default.jpg",#cd853f
1438,#ac654a,"https://api.nga.gov/iiif/3d44d981-1d36-446d-a6ac-e755be3f7c5e/full/!200,200/0/default.jpg",#a0522d
1440,#a2693b,"https://api.nga.gov/iiif/2b5b0121-85d6-4c8e-9752-a83fb70d7995/full/!200,200/0/default.jpg",#a0522d
1440,#b27a4f,"https://api.nga.gov/iiif/bdb650b1-c025-4f56-8fb3-0d781346fc5f/full/!200,200/0/default.jpg",#cd853f
1440,#a43c24,"https://api.nga.gov/iiif/d5e24c15-d22d-4f60-83b6-816c2fe41bf0/full/!200,200/0/default.jpg",#a52a2a
1440,#b18045,"https://api.nga.gov/iiif/41128a83-48a8-4b9b-9552-d936c2fdf58d/full/!200,200/0/default.jpg",#cd853f
1442,#a7714c,"https://api.nga.gov/iiif/d1eead36-4fdb-4e08-ac4d-50c91a4b8a00/full/!200,200/0/default.jpg",#a0522d
1445,#dcab56,"https://api.nga.gov/iiif/8958b6e6-a83f-4f6e-b14e-8845b4352b68/full/!200,200/0/default.jpg",#f4a460
1445,#f0b445,"https://api.nga.gov/iiif/ccb186ea-d5ac-44e1-966c-766dc0a4f023/full/!200,200/0/default.jpg",#f4a460
1445,#c98e49,"https://api.nga.gov/iiif/8dc653bf-8726-4b9f-8a48-5f7ef1f127d6/full/!200,200/0/default.jpg",#cd853f
1445,#9c401c,"https://api.nga.gov/iiif/0cd7a155-9488-443e-9866-66a5fe3fb258/full/!200,200/0/default.jpg",#8b4513
1445,#ae7052,"https://api.nga.gov/iiif/4de6830b-c1f3-4508-a360-bfcd9e441904/full/!200,200/0/default.jpg",#cd5c5c
1445,#b38d5b,"https://api.nga.gov/iiif/1f05b2cc-132c-47a9-9dec-f93d85e608be/full/!200,200/0/default.jpg",#cd853f
1445,#b4644c,"https://api.nga.gov/iiif/4ffee5bd-7630-4386-9df0-768d980a8b86/full/!200,200/0/default.jpg",#cd5c5c
1445,#8c5440,"https://api.nga.gov/iiif/6f6f7b9a-07f9-4e6b-98bb-d02caaf238da/full/!200,200/0/default.jpg",#a0522d
1450,#a16a3c,"https://api.nga.gov/iiif/851eaa44-5707-44d8-910e-42c41c557110/full/!200,200/0/default.jpg",#a0522d
1450,#994345,"https://api.nga.gov/iiif/a21cc457-7ddf-4c4d-9934-8039bc919864/full/!200,200/0/default.jpg",#a0522d
1450,#785135,"https://api.nga.gov/iiif/23e1898b-a329-460e-a791-c69663f7539d/full/!200,200/0/default.jpg",#8b4513
1450,#c64411,"https://api.nga.gov/iiif/45fa82c0-494f-489b-9062-9b62c842008c/full/!200,200/0/default.jpg",#d2691e
1450,#b88148,"https://api.nga.gov/iiif/c0f9cd21-9d15-4ba2-b3cc-c88759af9488/full/!200,200/0/default.jpg",#cd853f
1450,#e61804,"https://api.nga.gov/iiif/c215e277-6a1a-4b25-8d0a-2bfa4db13d6a/full/!200,200/0/default.jpg",#ff0000
1455,#ad1a08,"https://api.nga.gov/iiif/6cb74e73-7fb1-4a00-8932-5a791aa03358/full/!200,200/0/default.jpg",#b22222
1455,#9a7748,"https://api.nga.gov/iiif/4fbfb541-8673-442c-8ac9-43e661642e4e/full/!200,200/0/default.jpg",#a0522d
1455,#d49a52,"https://api.nga.gov/iiif/86098116-ac10-4aca-bb24-d51a576ac15c/full/!200,200/0/default.jpg",#cd853f
1455,#825238,"https://api.nga.gov/iiif/7270e9fe-1183-4441-a661-cbd826c7e8ec/full/!200,200/0/default.jpg",#a0522d
1455,#c84088,"https://api.nga.gov/iiif/d6663e36-cd7f-4406-a5e1-827e8dc729ed/full/!200,200/0/default.jpg",#c71585
1456,#d0a25f,"https://api.nga.gov/iiif/644d2492-3c7c-4f1e-ab33-c837edc019c2/full/!200,200/0/default.jpg",#bdb76b
1459,#b4543c,"https://api.nga.gov/iiif/fd6e0eb7-7574-4489-8920-e4592a581896/full/!200,200/0/default.jpg",#a0522d
1460,#903424,"https://api.nga.gov/iiif/513e34ae-b923-4aed-a85d-453d1a3b4fa3/full/!200,200/0/default.jpg",#a52a2a
1460,#b98c53,"https://api.nga.gov/iiif/74df6f92-b371-42c7-b835-b4cb9ae167b6/full/!200,200/0/default.jpg",#cd853f
1460,#cfa569,"https://api.nga.gov/iiif/2022a08c-1b2a-42e7-9987-1947f61a0c03/full/!200,200/0/default.jpg",#bdb76b
1460,#b68a49,"https://api.nga.gov/iiif/86533ed9-1baa-4e29-8f39-5519b461003f/full/!200,200/0/default.jpg",#cd853f
1460,#7c5c34,"https://api.nga.gov/iiif/7cb3180e-1423-4bdf-acf3-640dc3f33964/full/!200,200/0/default.jpg",#a0522d
1465,#a07a42,"https://api.nga.gov/iiif/330fdee8-fa99-44ed-8928-b67b55a4ef1c/full/!200,200/0/default.jpg",#a0522d
1465,#976647,"https://api.nga.gov/iiif/c814fc4e-77aa-49b7-b1db-b2756d813731/full/!200,200/0/default.jpg",#a0522d
1465,#c4947c,"https://api.nga.gov/iiif/7461a784-1032-41f4-a0b2-8d1e1815facd/full/!200,200/0/default.jpg",#bc8f8f
1467,#bc7454,"https://api.nga.gov/iiif/05e6ca89-e950-4ff7-8463-50f553ce2ad6/full/!200,200/0/default.jpg",#cd5c5c
1468,#cc9947,"https://api.nga.gov/iiif/bbedbb38-f641-4efe-b27a-f2e1139508a7/full/!200,200/0/default.jpg",#cd853f
1470,#ac7725,"https://api.nga.gov/iiif/c747c66d-a38d-4cdc-a0a3-9c55930303b8/full/!200,200/0/default.jpg",#b8860b
1470,#967033,"https://api.nga.gov/iiif/b648ebba-7bc6-45ab-a41d-7fd20b0918ea/full/!200,200/0/default.jpg",#a0522d
1470,#9c674b,"https://api.nga.gov/iiif/8835af10-db33-41e3-8684-4fc3117c2a15/full/!200,200/0/default.jpg",#a0522d
1470,#b38860,"https://api.nga.gov/iiif/0fc0bb7e-42d2-4813-baf0-311b0bab96e2/full/!200,200/0/default.jpg",#cd853f
