beginyear,medium,imageurl
1861,painting,"https://api.nga.gov/iiif/d29a364c-53dc-4834-97c8-631b272351f6/full/!200,200/0/default.jpg"
1890,painting,"https://api.nga.gov/iiif/aebdb01a-10f8-406f-9b7d-210281d4af11/full/!200,200/0/default.jpg"
1890,painting,"https://api.nga.gov/iiif/7d6db742-9e1b-46b6-a05d-dcd7039a21e4/full/!200,200/0/default.jpg"
1830,painting,"https://api.nga.gov/iiif/50b19d53-c25b-4d6b-b622-f3965ed553fc/full/!200,200/0/default.jpg"
1855,painting,"https://api.nga.gov/iiif/ac33ab88-45f9-4fe8-9ab5-1f0cfb1fea93/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/ae4ebe90-eed0-47be-bbc3-c4d191ceaf2c/full/!200,200/0/default.jpg"
1863,painting,"https://api.nga.gov/iiif/0d7d9fb4-a3ff-42e4-93d3-90cbd89578e9/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/29564844-aea0-40cd-b022-0fe6b5e5f5b1/full/!200,200/0/default.jpg"
1470,painting,"https://api.nga.gov/iiif/623e6887-f255-491f-bd76-316635fd3a83/full/!200,200/0/default.jpg"
1816,painting,"https://api.nga.gov/iiif/d35b1ce8-99dc-44b4-bec7-daf204aa03f0/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/ae4ebe90-eed0-47be-bbc3-c4d191ceaf2c/full/!200,200/0/default.jpg"
1490,painting,"https://api.nga.gov/iiif/d03d911a-9d6d-4eb5-ab44-298db3d40c10/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/5b81b623-79e2-45f1-a07d-26b3d9d04e64/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/8420b244-3620-4745-b3cf-e2bb5b9d71b9/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/ce9bbbbe-adc3-4cde-94e1-7c74a61e95e5/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/222cf19b-fde7-478a-97e0-9f80218dfe71/full/!200,200/0/default.jpg"
1870,painting,"https://api.nga.gov/iiif/4d9c630d-2545-46d9-8335-c1d0b1c086d4/full/!200,200/0/default.jpg"
1855,painting,"https://api.nga.gov/iiif/2ad824ec-d2b5-4653-b192-74f4c360b770/full/!200,200/0/default.jpg"
1891,painting,"https://api.nga.gov/iiif/4cfb0b25-b54c-4dbc-bdc2-682b9d04482d/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/180769c9-d4bc-4756-951c-c384651be9ac/full/!200,200/0/default.jpg"
1465,painting,"https://api.nga.gov/iiif/330fdee8-fa99-44ed-8928-b67b55a4ef1c/full/!200,200/0/default.jpg"
1770,painting,"https://api.nga.gov/iiif/cd91de24-4a9e-44ac-a5ec-401ec5a53caf/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/fcd7958d-e035-42e7-8ac3-b951a3483d64/full/!200,200/0/default.jpg"
1854,painting,"https://api.nga.gov/iiif/06ebf314-cb15-47da-9298-f5c40473059d/full/!200,200/0/default.jpg"
1873,painting,"https://api.nga.gov/iiif/4196f97b-1edb-4fae-aa9f-882afe35978b/full/!200,200/0/default.jpg"
1740,painting,"https://api.nga.gov/iiif/4e4b72ae-9903-4515-b017-e76053cc12d5/full/!200,200/0/default.jpg"
1880,painting,"https://api.nga.gov/iiif/9cc79c1d-3e5d-4531-9bea-0462449a8abc/full/!200,200/0/default.jpg"
1830,painting,"https://api.nga.gov/iiif/1c84ef3c-698d-46c5-b1e1-6a9c60a01856/full/!200,200/0/default.jpg"
1854,painting,"https://api.nga.gov/iiif/ca98b362-68cf-42cd-a009-b6c4bf9c9309/full/!200,200/0/default.jpg"
1883,painting,"https://api.nga.gov/iiif/de9ed4a3-3aed-4e56-b4c0-8c64a6ca4cc5/full/!200,200/0/default.jpg"
1855,painting,"https://api.nga.gov/iiif/46ba4127-22c3-4d9f-987e-1b11a172f5b3/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/2937014d-0a8a-4a3c-83e9-6c6f1a4263ee/full/!200,200/0/default.jpg"
