beginyear,medium,imageurl,decade,hex_color
1490,print,"https://api.nga.gov/iiif/0ca4f7bc-a65e-48df-8587-3546cc0e556f/full/!200,200/0/default.jpg",1490,"182, 166, 141"
1475,sculpture,"https://api.nga.gov/iiif/3ba2eeec-1e01-4537-88ba-783cc862a21d/full/!200,200/0/default.jpg",1470,"57, 45, 31"
1425,sculpture,"https://api.nga.gov/iiif/f796e3a8-43fb-4fd8-b09a-5df29337538b/full/!200,200/0/default.jpg",1420,"52, 44, 33"
1480,print,"https://api.nga.gov/iiif/f34092a3-6e41-4337-81ac-79798302133a/full/!200,200/0/default.jpg",1480,"188, 153, 107"
1460,print,"https://api.nga.gov/iiif/f448c2ab-30cc-4741-9124-e615fbf84a1d/full/!200,200/0/default.jpg",1460,"201, 185, 158"
1470,sculpture,"https://api.nga.gov/iiif/9ea0c5e1-37a9-4100-95a8-6c1539aa1167/full/!200,200/0/default.jpg",1470,"68, 53, 42"
1480,print,"https://api.nga.gov/iiif/bc5e9c09-0dfc-400c-9dc8-486c9b7960ba/full/!200,200/0/default.jpg",1480,"213, 197, 171"
1425,drawing,"https://api.nga.gov/iiif/f060e3e4-c09f-44ea-8669-103659ecbb8f/full/!200,200/0/default.jpg",1420,"190, 170, 152"
1465,print,"https://api.nga.gov/iiif/83f17464-acdd-4966-91ad-e6c34cfdb473/full/!200,200/0/default.jpg",1460,"176, 163, 139"
1475,sculpture,"https://api.nga.gov/iiif/e95812ff-d68a-42bc-b1e6-555fea2ed4dc/full/!200,200/0/default.jpg",1470,"67, 50, 38"
1455,painting,"https://api.nga.gov/iiif/6cb74e73-7fb1-4a00-8932-5a791aa03358/full/!200,200/0/default.jpg",1450,"118, 91, 66"
1456,painting,"https://api.nga.gov/iiif/644d2492-3c7c-4f1e-ab33-c837edc019c2/full/!200,200/0/default.jpg",1450,"127, 100, 66"
1475,sculpture,"https://api.nga.gov/iiif/405923b6-dd1b-4848-83e5-17e1a2701015/full/!200,200/0/default.jpg",1470,"42, 40, 38"
1475,sculpture,"https://api.nga.gov/iiif/8c0da809-4d16-49d7-9909-4348d81dd1f2/full/!200,200/0/default.jpg",1470,"54, 50, 43"
1444,sculpture,"https://api.nga.gov/iiif/2f274eef-0480-4fc3-868d-632537f5c1cc/full/!200,200/0/default.jpg",1440,"62, 54, 46"
1497,print,"https://api.nga.gov/iiif/37e10471-603e-4eb1-89bc-9b69747d1155/full/!200,200/0/default.jpg",1490,"195, 179, 155"
1460,print,"https://api.nga.gov/iiif/50f417c9-7958-4d68-9ed9-b93c1929ad1c/full/!200,200/0/default.jpg",1460,"198, 164, 114"
1485,sculpture,"https://api.nga.gov/iiif/1b25ecda-2c85-4a55-bf66-3483a1656b1f/full/!200,200/0/default.jpg",1480,"64, 51, 43"
1460,print,"https://api.nga.gov/iiif/cb2131d0-93ab-45d8-a898-1b2c26e2a9b8/full/!200,200/0/default.jpg",1460,"193, 174, 144"
1450,print,"https://api.nga.gov/iiif/1e63b105-760e-4425-896a-1419f31b230a/full/!200,200/0/default.jpg",1450,"109, 96, 81"
1465,print,"https://api.nga.gov/iiif/cf0ce8e3-d244-42b9-92ac-672350cc6739/full/!200,200/0/default.jpg",1460,"164, 151, 132"
1490,print,"https://api.nga.gov/iiif/11faeb6c-314e-4ed1-93c7-6761013848d4/full/!200,200/0/default.jpg",1490,"171, 133, 98"
1470,print,"https://api.nga.gov/iiif/22957a47-bdd4-4f9e-97cf-8f260aa45046/full/!200,200/0/default.jpg",1470,"185, 171, 149"
1450,sculpture,"https://api.nga.gov/iiif/918621e8-5091-4f01-b093-146fbc6d0026/full/!200,200/0/default.jpg",1450,"74, 55, 37"
1450,decorative art,"https://api.nga.gov/iiif/71f7459f-9362-4468-a6d7-584e77b9ca91/full/!200,200/0/default.jpg",1450,"163, 164, 161"
1472,print,"https://api.nga.gov/iiif/84358d66-a5ca-4f69-9f9e-6c772acb6686/full/!200,200/0/default.jpg",1470,"187, 173, 149"
1480,print,"https://api.nga.gov/iiif/b05b0628-70da-4312-88f1-588de4e936a0/full/!200,200/0/default.jpg",1480,"163, 150, 130"
1490,drawing,"https://api.nga.gov/iiif/8e44372e-f378-4109-9ff5-d8b79fd50fb0/full/!200,200/0/default.jpg",1490,"180, 169, 148"
1480,print,"https://api.nga.gov/iiif/ac6a9e29-15c0-49c2-bce8-0eb3808528fd/full/!200,200/0/default.jpg",1480,"168, 130, 95"
1475,drawing,"https://api.nga.gov/iiif/10e68c92-11fe-4d04-a02f-b1eceaa4b47f/full/!200,200/0/default.jpg",1470,"161, 131, 93"
1450,sculpture,"https://api.nga.gov/iiif/705b17b2-2994-4fb1-95ef-f48eea363fa3/full/!200,200/0/default.jpg",1450,"64, 52, 37"
1480,print,"https://api.nga.gov/iiif/dc5c1cb0-4aa8-4053-ae0c-901a78e37585/full/!200,200/0/default.jpg",1480,"165, 148, 128"
1474,sculpture,"https://api.nga.gov/iiif/2dc5b454-5cd0-483a-91a4-d098febc7ad7/full/!200,200/0/default.jpg",1470,"64, 46, 33"
1473,print,"https://api.nga.gov/iiif/185b6af4-03d5-41d7-92d6-5590e19fd6ee/full/!200,200/0/default.jpg",1470,"161, 147, 131"
1490,print,"https://api.nga.gov/iiif/701fdd60-18e3-4f27-acb9-66d607bc976f/full/!200,200/0/default.jpg",1490,"173, 165, 148"
1450,sculpture,"https://api.nga.gov/iiif/c86058d1-5081-485a-a761-2a80c9256004/full/!200,200/0/default.jpg",1450,"31, 23, 17"
1490,print,"https://api.nga.gov/iiif/746b0289-c627-4ebc-8ae6-96305861b56e/full/!200,200/0/default.jpg",1490,"152, 130, 94"
1425,sculpture,"https://api.nga.gov/iiif/07896667-8c43-46b2-9d1f-15ae61725a1e/full/!200,200/0/default.jpg",1420,"56, 45, 35"
1495,sculpture,"https://api.nga.gov/iiif/61079865-92a8-4846-b139-43cce0af3578/full/!200,200/0/default.jpg",1490,"58, 50, 43"
1475,sculpture,"https://api.nga.gov/iiif/7fbc1c52-9d3d-4c4f-bd04-75137ee1f234/full/!200,200/0/default.jpg",1470,"68, 63, 57"
1490,print,"https://api.nga.gov/iiif/e804e3db-830a-4229-88eb-59bcf0d0d15c/full/!200,200/0/default.jpg",1490,"158, 125, 90"
1490,print,"https://api.nga.gov/iiif/1398e4b0-2ecd-4da7-bc07-e7c67969b374/full/!200,200/0/default.jpg",1490,"166, 136, 105"
1480,sculpture,"https://api.nga.gov/iiif/1595ea1a-2edb-4ffc-bcd2-0a1980bad4ab/full/!200,200/0/default.jpg",1480,"50, 38, 26"
1478,sculpture,"https://api.nga.gov/iiif/421c09ef-f81a-4698-8b98-e504febd4225/full/!200,200/0/default.jpg",1470,"60, 53, 45"
1480,print,"https://api.nga.gov/iiif/33e29032-6d8d-4b06-855d-ffc0b1efacb8/full/!200,200/0/default.jpg",1480,"129, 107, 83"
1450,print,"https://api.nga.gov/iiif/d88b5268-d3ed-4611-8ae3-1dd55a531599/full/!200,200/0/default.jpg",1450,"190, 167, 135"
1465,sculpture,"https://api.nga.gov/iiif/b8920cee-3023-43e2-9644-ba1abd2ec7b8/full/!200,200/0/default.jpg",1460,"58, 50, 40"
1430,drawing,"https://api.nga.gov/iiif/2a4bbfd6-3d5a-44dd-8338-c0e9ea700b94/full/!200,200/0/default.jpg",1430,"184, 166, 156"
1455,sculpture,"https://api.nga.gov/iiif/831fe2ab-c3a9-480b-9eba-a926a34582ed/full/!200,200/0/default.jpg",1450,"114, 108, 101"
1420,sculpture,"https://api.nga.gov/iiif/192f0638-6de0-45d8-8a31-ccbeab9f2485/full/!200,200/0/default.jpg",1420,"43, 35, 29"
1473,sculpture,"https://api.nga.gov/iiif/db08c6cb-a3ef-478b-9186-9d12e37f3561/full/!200,200/0/default.jpg",1470,"87, 84, 79"
1450,print,"https://api.nga.gov/iiif/d1bce3e2-c611-437e-bc6c-ef3d6473e981/full/!200,200/0/default.jpg",1450,"178, 164, 145"
1475,sculpture,"https://api.nga.gov/iiif/b3bf597b-38b1-4a8b-a143-0247f8328bd3/full/!200,200/0/default.jpg",1470,"89, 63, 43"
1447,sculpture,"https://api.nga.gov/iiif/f4460d5e-e23f-4d1c-af03-a99671cfb0b1/full/!200,200/0/default.jpg",1440,"43, 39, 36"
1490,print,"https://api.nga.gov/iiif/51ea27bd-dd01-434d-81ac-53703e3ba01d/full/!200,200/0/default.jpg",1490,"187, 165, 129"
1485,sculpture,"https://api.nga.gov/iiif/7dc04e47-ac8a-475f-bb7a-802bce3cc3d2/full/!200,200/0/default.jpg",1480,"62, 44, 29"
1489,drawing,"https://api.nga.gov/iiif/206665d0-fcb6-4eab-97a5-e29e2700efd4/full/!200,200/0/default.jpg",1480,"213, 200, 186"
1475,sculpture,"https://api.nga.gov/iiif/86507bd9-7e7b-418d-8973-8c16014eeec7/full/!200,200/0/default.jpg",1470,"52, 39, 22"
1475,sculpture,"https://api.nga.gov/iiif/614fcbe8-c263-4ca8-a92f-b131b5338c12/full/!200,200/0/default.jpg",1470,"110, 77, 51"
1486,print,"https://api.nga.gov/iiif/f799ad71-94f6-4dc2-882e-307aeede2d24/full/!200,200/0/default.jpg",1480,"200, 184, 158"
1475,print,"https://api.nga.gov/iiif/11bb4a72-0a9d-4f4f-80b4-108b3decdf05/full/!200,200/0/default.jpg",1470,"130, 119, 106"
1425,drawing,"https://api.nga.gov/iiif/71d7eec5-6f34-4e19-a8d2-b6a3e951efe9/full/!200,200/0/default.jpg",1420,"185, 168, 145"
1475,sculpture,"https://api.nga.gov/iiif/ba21b9cc-17da-4ead-b765-816331d82e58/full/!200,200/0/default.jpg",1470,"51, 38, 25"
