beginyear,medium,imageurl,decade,DominantColorRGB,PaletteRGB
1425,drawing,"https://api.nga.gov/iiif/32985bf6-e0f7-4840-8e90-5b3cbd8df38c/full/!200,200/0/default.jpg",1700,"(218, 203, 176)","(218, 203, 177), (197, 180, 154), (180, 163, 135), (188, 173, 148), (244, 231, 208)"
1425,sculpture,"https://api.nga.gov/iiif/7b470a07-0067-4f89-bf4b-0c981ce8f5eb/full/!200,200/0/default.jpg",1400,"(38, 30, 24)","(38, 30, 24), (177, 161, 148), (122, 105, 92), (148, 140, 125), (148, 132, 132)"
1425,sculpture,"https://api.nga.gov/iiif/53508d2c-ce7d-4ff6-94d6-64fff83a8bf1/full/!200,200/0/default.jpg",1400,"(79, 76, 71)","(79, 76, 71), (198, 198, 198), (131, 130, 127), (108, 99, 94), (111, 108, 99)"
1425,print,"https://api.nga.gov/iiif/4d96f635-f401-469c-b735-76af57af638d/full/!200,200/0/default.jpg",1700,"(222, 206, 189)","(222, 207, 189), (101, 96, 86), (153, 144, 130), (133, 123, 111), (133, 117, 99)"
1425,painting,"https://api.nga.gov/iiif/99820c90-ed52-4981-9954-bd0512acacfc/full/!200,200/0/default.jpg",1400,"(63, 54, 42)","(60, 52, 41), (181, 130, 114), (133, 90, 69), (125, 132, 120), (146, 151, 134)"
1435,sculpture,"https://api.nga.gov/iiif/65642efc-4555-4882-b486-e143a305ac12/full/!200,200/0/default.jpg",1400,"(45, 41, 33)","(40, 37, 30), (150, 132, 108), (117, 101, 82), (132, 132, 108), (132, 124, 116)"
1440,print,"https://api.nga.gov/iiif/67662c8b-79ca-4920-b244-bbf0a57d729b/full/!200,200/0/default.jpg",1600,"(177, 164, 149)","(178, 165, 150), (89, 80, 71), (121, 111, 101), (108, 92, 84), (108, 100, 83)"
1445,sculpture,"https://api.nga.gov/iiif/1948537b-46f2-4486-89f1-2add71d44c14/full/!200,200/0/default.jpg",1600,"(35, 33, 28)","(37, 34, 29), (184, 159, 134), (115, 95, 80), (138, 137, 121), (129, 121, 116)"
1445,print,"https://api.nga.gov/iiif/ef991f5c-9f32-435f-b4cd-dcf30d53602e/full/!200,200/0/default.jpg",1400,"(165, 144, 117)","(163, 142, 115), (100, 85, 66), (248, 242, 216), (212, 182, 149), (204, 192, 172)"
1450,print,"https://api.nga.gov/iiif/4879ecd7-f20a-4c80-8a83-abfa2c1f379b/full/!200,200/0/default.jpg",1400,"(221, 210, 192)","(222, 211, 193), (88, 76, 64), (122, 110, 97), (149, 136, 121), (132, 124, 107)"
1450,sculpture,"https://api.nga.gov/iiif/f7a22e34-da22-499e-b71f-56e891d7a364/full/!200,200/0/default.jpg",1400,"(48, 47, 43)","(53, 52, 48), (195, 190, 185), (145, 142, 135), (172, 172, 163), (170, 164, 164)"
1450,print,"https://api.nga.gov/iiif/1ff58937-019f-42bc-b8c3-8eba998e5df4/full/!200,200/0/default.jpg",1400,"(172, 153, 127)","(172, 153, 128), (92, 78, 61), (224, 212, 189), (116, 92, 72), (118, 100, 68)"
1450,sculpture,"https://api.nga.gov/iiif/8a2273fd-d082-479d-9e45-52e3ea4c37a0/full/!200,200/0/default.jpg",1500,"(41, 40, 37)","(42, 41, 37), (153, 146, 139), (111, 107, 100), (132, 132, 124), (129, 124, 124)"
1450,print,"https://api.nga.gov/iiif/ef991f5c-9f32-435f-b4cd-dcf30d53602e/full/!200,200/0/default.jpg",1400,"(165, 144, 117)","(163, 142, 115), (100, 85, 66), (248, 242, 216), (212, 182, 149), (204, 192, 172)"
1450,sculpture,"https://api.nga.gov/iiif/705b17b2-2994-4fb1-95ef-f48eea363fa3/full/!200,200/0/default.jpg",1400,"(30, 24, 17)","(30, 24, 17), (194, 175, 146), (126, 97, 67), (154, 149, 117), (145, 140, 124)"
