Object id,beginyear,medium,imageurl,hex_color
182,c. 1400/1405,1400,"https://api.nga.gov/iiif/c9c0f26e-a559-43ab-b517-0384e347ade8/full/!200,200/0/default.jpg","161, 121, 73"
183,c. 1400/1405,1400,"https://api.nga.gov/iiif/789d7bcb-9bb2-4fdc-b049-1c9e8ebcce51/full/!200,200/0/default.jpg","152, 121, 75"
184,c. 1400/1405,1400,"https://api.nga.gov/iiif/68fbe6f4-38a4-4b0b-bc43-ae073d729c1f/full/!200,200/0/default.jpg",
1357,15th century,1400,"https://api.nga.gov/iiif/1ce3dea9-1f7b-4156-995c-e13e2855c107/full/!200,200/0/default.jpg","31, 25, 20"
1361,15th century,1400,"https://api.nga.gov/iiif/85c80603-299f-4aa7-a185-7a6a46c09084/full/!200,200/0/default.jpg","38, 32, 27"
1363,15th century,1400,"https://api.nga.gov/iiif/f53e9434-0069-451d-9d3e-84021be9d001/full/!200,200/0/default.jpg","36, 33, 27"
1378,15th century,1400,"https://api.nga.gov/iiif/76291626-936c-4f7a-87ae-18b6f7bd4835/full/!200,200/0/default.jpg","37, 31, 25"
1411,15th century,1400,"https://api.nga.gov/iiif/64b5ed6b-1a77-4a9f-a6e4-61b17850653e/full/!200,200/0/default.jpg","51, 42, 34"
1414,15th century,1400,"https://api.nga.gov/iiif/7c42b301-2a53-419f-96a6-724d4275eacd/full/!200,200/0/default.jpg","67, 56, 41"
1415,early 15th century,1400,"https://api.nga.gov/iiif/d81d6aa8-0c1b-45bb-a592-f8405dbfb416/full/!200,200/0/default.jpg","53, 43, 36"
1419,15th century,1400,"https://api.nga.gov/iiif/a8c63ee6-bcb8-48c3-b328-c339821fa0d7/full/!200,200/0/default.jpg","74, 71, 55"
1447,c. 1400/1410 (Trinity and Angels); 1884/1897 (setting),1400,"https://api.nga.gov/iiif/1f23f383-f2d1-4e89-bb95-00ecb220c1aa/full/!200,200/0/default.jpg","85, 69, 43"
1566,15th century,1400,"https://api.nga.gov/iiif/e651a40e-4b73-49d9-aa90-da4c773be159/full/!200,200/0/default.jpg","143, 133, 125"
3400,15th century,1400,"https://api.nga.gov/iiif/33066f0f-1b51-4749-a90c-2234c2e6eab8/full/!200,200/0/default.jpg","147, 128, 107"
3401,15th century,1400,"https://api.nga.gov/iiif/ab107ab5-58a8-42cd-b250-b480a0cefc88/full/!200,200/0/default.jpg","164, 143, 119"
