beginyear,medium,imageurl,colors,hex_color
1488,sculpture,"https://api.nga.gov/iiif/1ab777b3-4423-48e9-a4cf-3bbc742407b7/full/!200,200/0/default.jpg",[ 71  99 122  34  57  77   0   0   1  99 128 155  52  79 100],#47637a
1480,sculpture,"https://api.nga.gov/iiif/4b8a9c19-3666-4c70-814b-6d4480cae145/full/!200,200/0/default.jpg",[ 40  50  55  61  72  76   3   3   3 130 140 147  91 100 106],#283237
1480,print,"https://api.nga.gov/iiif/84288bb0-eb01-4126-9c38-400117bf887b/full/!200,200/0/default.jpg",[140 157 171 161 180 194 108 122 133 197 216 227  70  83  93],#8c9dab
1480,print,"https://api.nga.gov/iiif/952af36c-cc16-45b0-89bc-1f8ae50e7521/full/!200,200/0/default.jpg",[ 93 107 119 161 183 199  61  70  80 127 145 159 193 219 233],#5d6b77
1480,print,"https://api.nga.gov/iiif/474feb33-b7aa-4234-8a0f-1f1cd5fa39a0/full/!200,200/0/default.jpg",[ 74  91 107 184 213 233 108 130 149 137 163 183 161 190 211],#4a5b6b
1486,sculpture,"https://api.nga.gov/iiif/527c3343-9475-4323-9c46-b3f547684611/full/!200,200/0/default.jpg",[ 53  61  69   0   0   0 127 138 151  26  34  39  88  98 108],#353d45
1485,print,"https://api.nga.gov/iiif/53e0b6e7-e019-4aa4-ae3a-61108ebda2a6/full/!200,200/0/default.jpg",[110 120 128  45  53  61  78  88  96 187 202 213 146 156 165],#6e7880
1485,print,"https://api.nga.gov/iiif/7bb5a4cf-d78f-4153-92bc-8efc0d784a61/full/!200,200/0/default.jpg",[169 189 204  93 108 120  63  76  88 143 160 174 118 134 147],#a9bdcc
1488,sculpture,"https://api.nga.gov/iiif/1d0a729f-6c30-4378-b05e-b11e55e430fb/full/!200,200/0/default.jpg",[  1   1   1  81 107 132 104 130 157  62  84 104 147 166 190],#010101
1480,print,"https://api.nga.gov/iiif/d1985ee3-c284-484c-a1b7-5370fba0882f/full/!200,200/0/default.jpg",[ 48  68  83  87 110 126 182 210 227 148 176 194 121 146 164],#304453
1480,sculpture,"https://api.nga.gov/iiif/759a5974-4fee-4e53-9333-07b3ba548f25/full/!200,200/0/default.jpg",[117 167 198  47  72 106  75 114 148   0   0   1  32  49  70],#75a7c6
1488,sculpture,"https://api.nga.gov/iiif/98b82e4a-43ea-47c1-ac21-4a4e192a2601/full/!200,200/0/default.jpg",[ 50  79 102  32  56  75  68 100 126 113 140 163   0   0   1],#324f66
1480,print,"https://api.nga.gov/iiif/ebcd2bd5-010c-4d69-8dd7-3e7bd29a2655/full/!200,200/0/default.jpg",[183 206 217 107 135 174  62  85 122  76 105 157  39  56  83],#b7ced9
1481,print,"https://api.nga.gov/iiif/ca812feb-5ee8-4289-8797-a795fdfea463/full/!200,200/0/default.jpg",[ 87 113 129 193 220 236 168 196 213 116 143 160 142 170 187],#577181
1480,print,"https://api.nga.gov/iiif/14a3f228-3852-4cbc-a33e-5b8f17f7eca5/full/!200,200/0/default.jpg",[179 214 239  88 129 198  72 102 155  49  65  98 140 183 218],#b3d6ef
