beginyear,medium,imageurl,decade,colors,hex_color
1490,print,"https://api.nga.gov/iiif/0ca4f7bc-a65e-48df-8587-3546cc0e556f/full/!200,200/0/default.jpg",1490,[163 190 207 189 218 234 133 157 174  70  88 102 102 124 140],#9DB5C4
1475,sculpture,"https://api.nga.gov/iiif/3ba2eeec-1e01-4537-88ba-783cc862a21d/full/!200,200/0/default.jpg",1470,[118 136 154   0   0   0  49  73  95  70  94 116  32  54  71],#3C4956
1425,sculpture,"https://api.nga.gov/iiif/f796e3a8-43fb-4fd8-b09a-5df29337538b/full/!200,200/0/default.jpg",1420,[ 47  66  80  29  46  58   0   0   0  75  91 103 113 127 140],#5E7283
1480,print,"https://api.nga.gov/iiif/f34092a3-6e41-4337-81ac-79798302133a/full/!200,200/0/default.jpg",1480,[123 164 191  81 107 103 162 203 230  65 113 166  73 144 219],#CEE3EE
1460,print,"https://api.nga.gov/iiif/f448c2ab-30cc-4741-9124-e615fbf84a1d/full/!200,200/0/default.jpg",1460,[ 94 114 129 168 196 214  53  65  77 133 157 173 192 224 241],#869DAF
1470,sculpture,"https://api.nga.gov/iiif/9ea0c5e1-37a9-4100-95a8-6c1539aa1167/full/!200,200/0/default.jpg",1470,[  1   1   2  75  94 116 118 140 159  50  64  82  29  39  55],#010101
1480,print,"https://api.nga.gov/iiif/bc5e9c09-0dfc-400c-9dc8-486c9b7960ba/full/!200,200/0/default.jpg",1480,[200 227 242 122 145 162 156 181 198  88 108 125 184 212 230],#B3CBD9
1425,drawing,"https://api.nga.gov/iiif/f060e3e4-c09f-44ea-8669-103659ecbb8f/full/!200,200/0/default.jpg",1420,[129 148 176 169 186 207 196 213 230  98 118 140  66  82 100],#4D5D6C
1465,print,"https://api.nga.gov/iiif/83f17464-acdd-4966-91ad-e6c34cfdb473/full/!200,200/0/default.jpg",1460,[124 147 160 188 210 222 103 125 138 141 165 179 153 178 192],#242F3D
1475,sculpture,"https://api.nga.gov/iiif/e95812ff-d68a-42bc-b1e6-555fea2ed4dc/full/!200,200/0/default.jpg",1470,[ 28  42  62  69  85 111   0   0   1  99 117 142  47  63  87],#728899
1455,painting,"https://api.nga.gov/iiif/6cb74e73-7fb1-4a00-8932-5a791aa03358/full/!200,200/0/default.jpg",1450,[113 148 189 137 152 146  39  66 108  75 107 146  19  33  39],#7194BD
1456,painting,"https://api.nga.gov/iiif/644d2492-3c7c-4f1e-ab33-c837edc019c2/full/!200,200/0/default.jpg",1450,[ 48  71 147  78 112 156 102 166 210  59  54  17  28  70  81],#304793
1475,sculpture,"https://api.nga.gov/iiif/405923b6-dd1b-4848-83e5-17e1a2701015/full/!200,200/0/default.jpg",1470,[ 82  88  95  42  43  45  11  11  12 118 128 137  59  62  66],#52585F
1475,sculpture,"https://api.nga.gov/iiif/8c0da809-4d16-49d7-9909-4348d81dd1f2/full/!200,200/0/default.jpg",1470,[  5   4   3  84  97 105 115 128 135  65  77  85  44  56  64],#050403
1444,sculpture,"https://api.nga.gov/iiif/2f274eef-0480-4fc3-868d-632537f5c1cc/full/!200,200/0/default.jpg",1440,[  1   1   1 135 146 161  65  77  89  46  57  67  96 108 122],#010101
1497,print,"https://api.nga.gov/iiif/37e10471-603e-4eb1-89bc-9b69747d1155/full/!200,200/0/default.jpg",1490,[199 225 242 104 124 140  72  87 102 137 160 178 169 195 213],#C7E1F2
1460,print,"https://api.nga.gov/iiif/50f417c9-7958-4d68-9ed9-b93c1929ad1c/full/!200,200/0/default.jpg",1460,[133 200 232  53  82 111 105 155 197  75 119 163 173 219 242],#85C8E8
1485,sculpture,"https://api.nga.gov/iiif/1b25ecda-2c85-4a55-bf66-3483a1656b1f/full/!200,200/0/default.jpg",1480,[113 130 154  84  98 122   0   0   1  63  75  98  46  56  71],#71829A
1460,print,"https://api.nga.gov/iiif/cb2131d0-93ab-45d8-a898-1b2c26e2a9b8/full/!200,200/0/default.jpg",1460,[138 168 190 170 206 226  99 123 142 209 239 252  64  81  98],#8AA8BE
1450,print,"https://api.nga.gov/iiif/1e63b105-760e-4425-896a-1419f31b230a/full/!200,200/0/default.jpg",1450,[ 95 110 123  42  54  66 184 208 223 120 142 158  68  81  93],#5F6E7B
1465,print,"https://api.nga.gov/iiif/cf0ce8e3-d244-42b9-92ac-672350cc6739/full/!200,200/0/default.jpg",1460,[107 124 134 131 151 163  83  99 108 150 171 185 185 209 221],#6B7C86
1490,print,"https://api.nga.gov/iiif/11faeb6c-314e-4ed1-93c7-6761013848d4/full/!200,200/0/default.jpg",1490,[ 61  76  89  74  95 147 194 229 247 126 188 234  98 137 190],#3D4C59
1470,print,"https://api.nga.gov/iiif/22957a47-bdd4-4f9e-97cf-8f260aa45046/full/!200,200/0/default.jpg",1470,[114 132 147 137 159 176 218 245 251  86 101 114 161 189 207],#728493
1450,sculpture,"https://api.nga.gov/iiif/918621e8-5091-4f01-b093-146fbc6d0026/full/!200,200/0/default.jpg",1450,[ 86 114 146  54  87 119   0   0   1  36  62  91 126 152 185],#567292
1450,decorative art,"https://api.nga.gov/iiif/71f7459f-9362-4468-a6d7-584e77b9ca91/full/!200,200/0/default.jpg",1450,[147 149 150  48  55  48 110 114 114 187 188 188 216 217 217],#939596
1472,print,"https://api.nga.gov/iiif/84358d66-a5ca-4f69-9f9e-6c772acb6686/full/!200,200/0/default.jpg",1470,[146 169 184  91 112 126 202 227 241 171 195 210 121 143 158],#92A9B8
1480,print,"https://api.nga.gov/iiif/b05b0628-70da-4312-88f1-588de4e936a0/full/!200,200/0/default.jpg",1480,[193 219 234  91 106 119 125 143 158  60  71  82 159 182 196],#C1DBEA
1490,drawing,"https://api.nga.gov/iiif/8e44372e-f378-4109-9ff5-d8b79fd50fb0/full/!200,200/0/default.jpg",1490,[ 81  98 109 137 158 171 161 180 191 150 171 183 117 135 147],#51626D
1480,print,"https://api.nga.gov/iiif/ac6a9e29-15c0-49c2-bce8-0eb3808528fd/full/!200,200/0/default.jpg",1480,[ 51  64  86 122 170 207 173 211 233  62  91 136  74 122 191],#334056
1475,drawing,"https://api.nga.gov/iiif/10e68c92-11fe-4d04-a02f-b1eceaa4b47f/full/!200,200/0/default.jpg",1470,[ 75 109 137  48  74 101 133 177 206 109 145 172  87 131 163],#4B6D89
1450,sculpture,"https://api.nga.gov/iiif/705b17b2-2994-4fb1-95ef-f48eea363fa3/full/!200,200/0/default.jpg",1450,[ 60  90 117  36  57  74 102 137 162   0   0   1 197 216 225],#3C5A75
1480,print,"https://api.nga.gov/iiif/dc5c1cb0-4aa8-4053-ae0c-901a78e37585/full/!200,200/0/default.jpg",1480,[ 56  65  78  86 100 115 151 175 193 183 211 230 118 137 154],#38414E
1474,sculpture,"https://api.nga.gov/iiif/2dc5b454-5cd0-483a-91a4-d098febc7ad7/full/!200,200/0/default.jpg",1470,[ 49  72 102 110 132 162   0   0   1  71  94 123  29  47  71],#314866
1473,print,"https://api.nga.gov/iiif/185b6af4-03d5-41d7-92d6-5590e19fd6ee/full/!200,200/0/default.jpg",1470,[109 124 138 197 217 231  83  96 110 165 183 198 136 152 167],#6D7C8A
1490,print,"https://api.nga.gov/iiif/701fdd60-18e3-4f27-acb9-66d607bc976f/full/!200,200/0/default.jpg",1490,[ 87  95 102 189 216 226 133 142 150 109 118 125 167 183 192],#575F66
1450,sculpture,"https://api.nga.gov/iiif/c86058d1-5081-485a-a761-2a80c9256004/full/!200,200/0/default.jpg",1450,[ 58  79 105  25  38  51  41  60  81   0   0   1  89 115 140],#3A4F69
1490,print,"https://api.nga.gov/iiif/746b0289-c627-4ebc-8ae6-96305861b56e/full/!200,200/0/default.jpg",1490,[115 114  81  80 119 161  69 106 119 158 196 225 111 153 182],#737251
1425,sculpture,"https://api.nga.gov/iiif/07896667-8c43-46b2-9d1f-15ae61725a1e/full/!200,200/0/default.jpg",1420,[ 75  93 113  39  53  68  54  73  92   0   0   0 107 123 144],#4B5D71
