Year,Drawing
1000,1
1050,1
1100,2
1115,0
1137,0
1140,1
1150,3
1175,2
1200,0
1210,1
1220,0
1225,1
1239,1
1240,1
1250,3
1260,0
1265,1
1270,17
1272,0
1285,1
1290,1
1300,0
1304,0
1308,0
1310,0
1315,0
1320,1
1321,0
1324,0
1325,4
1330,0
1333,0
1335,0
1340,2
1345,1
1350,3
1354,0
1357,0
1360,0
1364,0
1370,0
1380,1
1383,1
1385,2
1386,0
1387,2
1390,4
1398,0
1400,13
1402,0
1404,0
1409,1
1410,3
1412,3
1413,0
1414,1
1415,0
1419,0
1420,5
1423,0
1425,6
1426,0
1427,0
1430,15
1431,2
1432,0
1433,0
1434,0
1435,2
1436,0
1437,0
1438,0
1440,4
1441,0
1442,1
1443,0
1444,0
1445,3
1446,0
1447,0
1449,0
1450,6
1452,0
1453,0
1454,1
1455,1
1456,0
1457,0
1458,0
1459,0
1460,5
1461,0
1462,0
1463,0
1464,0
1465,1
1466,0
1467,0
1468,0
1469,0
1470,6
1471,0
1472,4
1473,0
1474,2
1475,4
1476,1
1477,0
1478,0
1479,0
1480,6
1481,0
1482,0
1483,4
1484,0
1485,8
1486,0
1487,1
1488,3
1489,3
1490,4
1491,2
1492,2
1493,2
1494,0
1495,4
1496,2
1497,2
1498,2
1499,2
1500,48
1501,3
1502,2
1503,1
1504,1
1505,5
1506,0
1507,1
1508,2
1509,5
1510,14
1511,1
1512,37
1513,6
1514,9
1515,212
1516,2
1517,1
1518,1
1519,5
1520,11
1521,6
1522,5
1523,8
1524,8
1525,5
1526,3
1527,5
1528,6
1529,5
1530,16
1531,2
1532,3
1533,1
1534,0
1535,7
1536,0
1537,2
1538,0
1539,10
1540,9
1541,3
1542,2
1543,0
1544,11
1545,5
1546,3
1547,1
1548,9
1549,2
1550,17
1551,0
1552,24
1553,9
1554,6
1555,9
1556,2
1557,3
1558,3
1559,4
1560,12
1561,6
1562,3
1563,2
1564,8
1565,11
1566,6
1567,9
1568,2
1569,1
1570,15
1571,5
1572,2
1573,3
1574,1
1575,288
1576,2
1577,4
1578,8
1579,2
1580,15
1581,6
1582,9
1583,0
1584,3
1585,7
1586,3
1587,2
1588,1
1589,2
1590,22
