Year,,technical material,photograph,portfolio,volume,drawing,sculpture,new media,decorative art,painting,print
1310,,,,,,,,,,4,
1333,,,,,,,,,,1,
1387,,,,,,2,,,,4,
1430,,,,,,15,3,,,10,4
1354,,,,,,,,,,4,
1423,,,,,,,,,,1,
1308,,,,,,,,,,2,
1460,,,,,,5,19,,2,6,84
1470,,,,1,,6,65,,1,22,123
1325,,,,,,4,3,,,2,
1490,,,,,,4,22,,3,13,129
1450,,,,,,6,79,,3,6,63
1383,,,,,,1,,,,1,
1475,,2,,,1,4,164,,1,15,45
1482,,,,,,,4,,,5,1
1485,,,,,,8,32,,1,5,24
1478,,,,,,,20,,,2,
1410,,,,,,3,2,,,1,2
1510,,,,,1,14,13,,10,10,66
1508,,,,,,2,6,,1,6,42
1506,,,,,,,10,,,2,27
1515,,,,,1,212,17,,2,11,64
1260,,,,,,,,,,1,
1480,,,,,,6,48,,3,12,277
1492,,,,,1,2,15,,,2,4
1555,,,,,,9,13,,,3,51
1550,,,,,,17,82,,13,11,58
1540,,,,,,9,26,,8,7,39
1520,,,,,,11,14,,9,27,95
1581,,,,,,6,4,,,1,13
1434,,,,,,,,,,1,
1479,,,,,,,8,,,1,2
1621,,,,,,9,,,,3,113
1623,,,,,,2,6,,,8,48
1632,,,,,,1,3,,,2,60
1653,,,,,,2,,,,4,36
1569,,,,,,1,2,,,2,13
1664,,,,,,1,1,,,7,16
1925,,,124,1,34,64,13,,2,13,284
1658,,,,,1,,,,,8,40
1660,,,,,1,10,2,,,17,42
1655,,,,,2,11,2,,,13,36
1668,,,,,,1,2,,,1,6
1663,,,,,,2,2,,,6,19
1665,,,,,,5,2,,,8,31
1538,,,,,,,13,,1,1,13
1527,,,,,,5,8,,2,6,10
1507,,,,,,1,13,,2,1,24
1633,,,,,,6,2,,,6,90
1636,,,,,,1,1,,,1,27
1645,,,,,1,10,3,,,14,307
1646,,,,,,4,,,,6,74
1659,,,,,,4,,,,1,18
1637,,,,,,1,1,,,4,37
1656,,1,,,,4,1,,,3,43
1650,,,,,1,21,5,,7,29,75
1640,,,,,,48,2,,,10,123
1603,,,,,,3,4,,,1,28
1600,,,,,4,93,47,,5,8,399
1786,,,,,,20,2,,,4,22
1799,,,,,3,4,1,,,5,83
1806,,,,,2,21,,,,8,64
1730,,,,,,17,,,,10,36
1737,,,,,,5,2,,,3,5
1740,,,,,2,31,8,,3,9,58
1785,,,,,,25,5,,,8,63
1783,,,,,2,25,1,,,10,35
1770,,,,,1,42,5,,1,17,68
1777,,,,,1,10,6,,,5,49
1802,,,1,,5,5,,,,4,86
