Year,Drawing,Painting,Sculpture,Photograph,Decorative Art,Print
1310,0,4,0,0,0,0
1333,0,1,0,0,0,0
1387,2,4,0,0,0,0
1430,15,10,3,0,0,4
1354,0,4,0,0,0,0
1423,0,1,0,0,0,0
1308,0,2,0,0,0,0
1460,5,6,19,0,2,84
1470,6,22,65,0,1,123
1325,4,2,3,0,0,0
1490,4,13,22,0,3,129
1450,6,6,79,0,3,63
1383,1,1,0,0,0,0
1475,4,15,164,0,1,45
1482,0,5,4,0,0,1
1485,8,5,32,0,1,24
1478,0,2,20,0,0,0
1410,3,1,2,0,0,2
1510,14,10,13,0,10,66
1508,2,6,6,0,1,42
1506,0,2,10,0,0,27
1515,212,11,17,0,2,64
1260,0,1,0,0,0,0
1480,6,12,48,0,3,277
1492,2,2,15,0,0,4
1555,9,3,13,0,0,51
1550,17,11,82,0,13,58
1540,9,7,26,0,8,39
1520,11,27,14,0,9,95
1581,6,1,4,0,0,13
1434,0,1,0,0,0,0
1479,0,1,8,0,0,2
1621,9,3,0,0,0,113
1623,2,8,6,0,0,48
1632,1,2,3,0,0,60
1653,2,4,0,0,0,36
1569,1,2,2,0,0,13
1664,1,7,1,0,0,16
1925,64,13,13,124,2,284
1658,0,8,0,0,0,40
1660,10,17,2,0,0,42
1655,11,13,2,0,0,36
1668,1,1,2,0,0,6
1663,2,6,2,0,0,19
1665,5,8,2,0,0,31
1538,0,1,13,0,1,13
1527,5,6,8,0,2,10
1507,1,1,13,0,2,24
1633,6,6,2,0,0,90
1636,1,1,1,0,0,27
1645,10,14,3,0,0,307
1646,4,6,0,0,0,74
1659,4,1,0,0,0,18
1637,1,4,1,0,0,37
1656,4,3,1,0,0,43
1650,21,29,5,0,7,75
1640,48,10,2,0,0,123
1603,3,1,4,0,0,28
1600,93,8,47,0,5,399
1786,20,4,2,0,0,22
1799,4,5,1,0,0,83
1806,21,8,0,0,0,64
1730,17,10,0,0,0,36
1737,5,3,2,0,0,5
1740,31,9,8,0,3,58
1785,25,8,5,0,0,63
1783,25,10,1,0,0,35
1770,42,17,5,0,1,68
1777,10,5,6,0,0,49
1802,5,4,0,1,0,86
1780,65,9,6,0,1,67
1781,14,6,3,0,0,24
1778,25,4,3,0,0,74
1793,18,13,4,0,0,51
1796,15,4,3,0,0,65
1782,18,6,5,0,1,85
1820,44,15,10,0,0,32
1827,22,10,1,0,0,73
1844,11,6,4,6,0,90
1795,24,13,3,0,0,37
1425,6,2,20,0,0,5
1455,1,5,11,0,0,3
1860,62,20,24,177,1,52
1855,34,56,4,142,0,88
1825,36,35,6,0,3,153
1580,15,2,6,0,2,63
1442,1,1,0,0,0,8
1380,1,6,0,0,9,0
1734,11,3,0,0,0,9
1525,5,5,87,0,11,26
1400,13,6,80,0,2,25
1445,3,9,18,0,0,11
1690,8,1,4,0,1,26
1744,50,2,2,0,0,38
1739,7,6,2,0,0,26
1733,11,5,2,0,0,17
1618,7,6,3,0,0,72
1620,27,9,6,0,1,114
1762,15,5,0,0,0,36
1720,28,7,0,0,0,27
1760,30,7,0,0,0,59
1775,43,11,5,0,1,69
1560,12,7,13,0,2,45
1522,5,3,10,0,1,26
1530,16,9,26,0,3,32
1335,0,4,1,0,0,0
1505,5,15,14,0,1,39
1340,2,5,4,0,0,0
1610,30,5,8,0,0,155
1500,48,20,374,0,22,310
1476,1,2,0,0,0,6
1594,7,1,2,0,0,20
1390,4,1,2,0,0,13
1330,0,1,1,0,1,0
1474,2,5,8,0,0,1
1435,2,5,4,0,0,0
1473,0,3,9,0,0,7
1420,5,1,10,0,0,1
1360,0,4,2,0,0,0
1468,0,1,9,0,0,0
1523,8,1,12,0,0,41
1440,4,4,7,0,0,22
1495,4,11,26,0,0,28
1465,1,4,11,0,0,69
1491,2,5,4,0,0,2
1625,15,10,7,0,1,33
1489,3,1,5,0,0,6
1750,48,10,4,0,32,51
1896,35,5,5,6,0,219
1897,34,5,11,7,0,193
1898,35,8,6,12,1,132
