beginyear,hex_color,LightVibrant,DarkVibrant,Muted,LightMuted,DarkMuted,imageurl
1400,"#aa8551","#d8b690","#654424","#a4745c","#c7b09f","#44392d","https://api.nga.gov/iiif/93cceae1-41a7-4191-b8e1-9aeabacffc15/full/!800,800/0/default.jpg"
1400,"#c57f39",,,,,,"https://api.nga.gov/iiif/56890ebe-1a0a-4f7a-84f3-558376bf5c9e/full/!800,800/0/default.jpg"
1400,"#bf8f3f",,,,,,"https://api.nga.gov/iiif/44fef87b-a334-445e-9ac3-c9dfafb6ef92/full/!800,800/0/default.jpg"
1400,"#987b20",,,,,,"https://api.nga.gov/iiif/37b7f359-b5f2-4089-bc00-f90720fc0b04/full/!800,800/0/default.jpg"
1400,"#bf9f30","#cca288","#603c0c","#a46154","#caae90","#503723","https://api.nga.gov/iiif/e63eab5b-c6c9-4f35-95d0-70e0a516af9c/full/!800,800/0/default.jpg"
1400,"#b4843c","#e4bb7e","#784c14","#97734c","#ab9474","#6e543a","https://api.nga.gov/iiif/2b73c8db-654f-4d00-a301-1f49dfa69cf3/full/!800,800/0/default.jpg"
1400,"#784434",,,,,,"https://api.nga.gov/iiif/bd539132-0afa-4e10-bf26-dc51eb0a13bd/full/!800,800/0/default.jpg"
1400,"#b2904c",,,,,,"https://api.nga.gov/iiif/33d54570-4c41-49e9-b125-45c56fa4b892/full/!800,800/0/default.jpg"
1400,"#c1a711",,,,,,"https://api.nga.gov/iiif/52d242ed-2e0b-4b09-b77c-39efba7d14a4/full/!800,800/0/default.jpg"
1400,"#745434",,,,,,"https://api.nga.gov/iiif/23136043-79a3-4a09-b845-41e410634171/full/!800,800/0/default.jpg"
1400,"#bf3f3f",,,,,,"https://api.nga.gov/iiif/24eb8d93-1c92-42d7-a858-9faedef67135/full/!800,800/0/default.jpg"
1400,"#b3804b",,,,,,"https://api.nga.gov/iiif/84d70ddf-1c92-452a-8d1e-0b3604e2f4b5/full/!800,800/0/default.jpg"
1400,"#ac8c4c","#e4c494","#644424","#95734b","#c5aa7e","#6d5139","https://api.nga.gov/iiif/1c4ed376-d421-4fa3-b449-b23f501dbe4c/full/!800,800/0/default.jpg"
1420,"#745434",,,,,,"https://api.nga.gov/iiif/db1d3fe7-7299-4036-8dcd-74295827a9e8/full/!800,800/0/default.jpg"
1450,"#c28440","#d4a470","#9c541c","#807e80","#c7c0b0","#2b4f3f","https://api.nga.gov/iiif/84b87b46-ecf6-47d1-bdfc-70e697a1581a/full/!800,800/0/default.jpg"
1450,"#d8973e","#6e98bf","#84542e","#50a06c","#c4c4c4","#303b53","https://api.nga.gov/iiif/5df8bf44-8b6f-47cc-870e-58af236c0992/full/!800,800/0/default.jpg"
1475,"#a47e3c","#dac596","#66482d","#b19268","#cbb28f","#473423","https://api.nga.gov/iiif/9ced1fcd-8ac4-40bb-99cc-df2879f7d8b2/full/!800,800/0/default.jpg"
1450,"#a88344","#e7c26f","#203a6e","#547ca5","#bcb4b4","#6b583c","https://api.nga.gov/iiif/2ca1a9e9-dff5-4af4-a522-37f6c97adce3/full/!800,800/0/default.jpg"
1470,"#b78140","#e5c395","#6d341d","#8d8271","#cdc5ae","#314a4e","https://api.nga.gov/iiif/f2087521-95a8-42e9-b383-712221c3b31b/full/!800,800/0/default.jpg"
1490,"#b5541d","#dfbd92","#641421","#9b8471","#bbaca0","#57382d","https://api.nga.gov/iiif/596dbe75-d5d5-4b89-a983-3ac25fec0c01/full/!800,800/0/default.jpg"
1480,"#ac642c",,,,,,"https://api.nga.gov/iiif/af553f55-32f3-47df-8df3-b996c4b560bc/full/!800,800/0/default.jpg"
1500,"#b47c5c",,,,,,"https://api.nga.gov/iiif/b20ac551-db15-4e01-babb-f68cde7fe0ea/full/!800,800/0/default.jpg"
1495,"#4ca89c","#e4ccbb","#4c449c","#7a7876","#cebaa9","#45332a","https://api.nga.gov/iiif/d4d2b241-ad14-4fbb-b854-2d51278ff371/full/!800,800/0/default.jpg"
1500,"#bc6e46","#ca9274","#623621","#9b6548","#c4c4c3","#634737","https://api.nga.gov/iiif/4ba0125d-68cc-4bea-9cbe-71b6f13aaea8/full/!800,800/0/default.jpg"
1480,"#d0b284","#e4c699","#5f482b","#8b7559","#b8a17c","#625243","https://api.nga.gov/iiif/db6738c9-bfdb-44f1-82b4-a42c45df90c1/full/!800,800/0/default.jpg"
1480,"#947444",,,,,,"https://api.nga.gov/iiif/7025700d-ff4e-4f67-b6a8-b490625e4f6b/full/!800,800/0/default.jpg"
1500,"#c46c2c","#f1c57f","#663913","#ab8257","#cccccc","#584030","https://api.nga.gov/iiif/b00f2f3b-1479-4894-ac3b-0ccbd2888e86/full/!800,800/0/default.jpg"
1500,"#ab4a47","#f9d8ad","#703414","#986b55","#c4bbb9","#5a3d2d","https://api.nga.gov/iiif/2f898241-32e4-40cd-bffb-e74e31039af3/full/!800,800/0/default.jpg"
1500,"#bc9454",,,,,,"https://api.nga.gov/iiif/39dec237-0c3f-4bd4-847a-a796c6cb4126/full/!800,800/0/default.jpg"
1500,"#945c42",,,,,,"https://api.nga.gov/iiif/3323a3e7-8285-4ee5-9198-b44be814c05e/full/!800,800/0/default.jpg"
1500,"#bb6943","#e8deb5","#643824","#8f847c","#d6c9a8","#383130","https://api.nga.gov/iiif/f41ca634-2d32-435e-8057-575d3d5e188e/full/!800,800/0/default.jpg"
1500,"#8c6434",,,,,,"https://api.nga.gov/iiif/0a1a3fb6-3548-4f8b-86cc-d7eb0716432e/full/!800,800/0/default.jpg"
