Begin Year,Vibrant,LightVibrant,DarkVibrant,Muted,LightMuted,DarkMuted,Image URL
1470,"#8f603d",,,,,,"https://api.nga.gov/iiif/b7e69dc0-8f18-432c-988f-2137ae64496d/full/!200,200/0/default.jpg"
1480,"#845034",,,,,,"https://api.nga.gov/iiif/6f341bd4-f86c-4ddd-89a5-2318ac3f726d/full/!200,200/0/default.jpg"
1500,"#706030",,,,,,"https://api.nga.gov/iiif/d6051915-07ef-4b6c-8297-5b8ed03d2d9b/full/!200,200/0/default.jpg"
1889,"#fce464","#fbe16c","#695621","#a7954c",,,"https://api.nga.gov/iiif/c1b2956e-00cf-4fbd-ac55-933b2565b591/full/!200,200/0/default.jpg"
1600,"#bc50b4",,,,,,"https://api.nga.gov/iiif/cf589806-d558-47fe-9379-46282b45e14e/full/!200,200/0/default.jpg"
1500,"#b05c4c","#d4a898","#5c3027","#91816f","#c4ac91","#5c4c3c","https://api.nga.gov/iiif/eab661b3-9f50-4fdb-a9c2-26cfbbfa7c84/full/!200,200/0/default.jpg"
1886,"#64b04c","#d4c4a4","#345c27","#988574","#d4bca4","#463c34","https://api.nga.gov/iiif/d082dcca-9ec2-4773-93fb-128360897d66/full/!200,200/0/default.jpg"
1895,"#e4d080","#fce4c3","#6d5c17","#a6987e","#d4c3a3",,"https://api.nga.gov/iiif/ee036389-b6fd-4f63-8774-fb9f9942978f/full/!200,200/0/default.jpg"
1894,"#a09430",,,,,,"https://api.nga.gov/iiif/280ae8ea-fa2b-48fa-9a71-b05980bc90d4/full/!200,200/0/default.jpg"
1825,"#58b050","#e4d3c4","#2d5b29","#58aca8","#dbccc1","#443e3c","https://api.nga.gov/iiif/f1533634-5e9d-4982-9672-86152d0ace85/full/!200,200/0/default.jpg"
1890,"#5572c4","#7c94e0","#583112","#947a4f","#b5b8c2","#584a31","https://api.nga.gov/iiif/a65b56d8-7ae7-4a80-a84a-5a9dd7c13ea7/full/!200,200/0/default.jpg"
1803,"#9c8c3c","#d4be9d","#594214","#ae976d","#c1b092","#5f562f","https://api.nga.gov/iiif/63a9f1f4-2581-4bfc-8015-5bfc6fa626b6/full/!200,200/0/default.jpg"
1886,"#cc649c","#e3cca4","#632044","#ab8f6f","#ccac89","#685442","https://api.nga.gov/iiif/ee4a22a1-4258-4423-ae1a-e08bb23f292b/full/!200,200/0/default.jpg"
1662,"#7c201f",,,,,,"https://api.nga.gov/iiif/76df51cb-7d7e-4a4d-979c-21b34d88d69f/full/!200,200/0/default.jpg"
1890,"#b4875e","#ccb292","#5a412a","#a87c54","#ccc4b0","#71675c","https://api.nga.gov/iiif/2df9cb71-485a-48d0-b72a-fb07480c7459/full/!200,200/0/default.jpg"
1800,"#b48846","#dcc49c","#69410c","#a4885f","#c3baac",,"https://api.nga.gov/iiif/62b4e6e0-832d-44d6-904a-365dd0409dd5/full/!200,200/0/default.jpg"
1500,"#84b860","#f4dcbc","#3d5b28","#a49079","#c4ac92","#84735e","https://api.nga.gov/iiif/ca546f40-16f1-4d23-8906-fc6b7ce31d52/full/!200,200/0/default.jpg"
1837,"#84c85c","#fcf4d7","#396321","#887863","#d4c49d","#675a4d","https://api.nga.gov/iiif/129fb69e-1ace-4d0f-ad72-ab78623c7e22/full/!200,200/0/default.jpg"
1837,"#7c5c36",,,,,,"https://api.nga.gov/iiif/b2761d91-c1e7-4f57-afd5-ae1633e2e4c7/full/!200,200/0/default.jpg"
1475,"#6c4434",,,,,,"https://api.nga.gov/iiif/fb1273b8-c2b0-4340-aab7-8fe1cc135db9/full/!200,200/0/default.jpg"
1837,"#ccab83","#d4b48c","#649444","#8e7760","#c4a480","#605042","https://api.nga.gov/iiif/d66b2536-37a5-4488-9a36-18a70892e578/full/!200,200/0/default.jpg"
1837,"#bc509c","#ece4cc","#5f244e","#938674","#d0c3ad","#4f463f","https://api.nga.gov/iiif/e6d20bb3-3367-48f5-a495-57d513253b1f/full/!200,200/0/default.jpg"
1680,"#b44a48","#e7c9a4","#5e2625","#9c8464","#c5a886","#625142","https://api.nga.gov/iiif/1e804169-f476-42e0-b172-cd239ab86e63/full/!200,200/0/default.jpg"
1617,"#c45c4c","#f4e4c4","#632920","#a2937d","#cdbba0","#62564a","https://api.nga.gov/iiif/6809d170-5928-4752-83fc-b5eea10ecd36/full/!200,200/0/default.jpg"
1837,"#d4b479","#ecc484","#644c20","#a68c64","#b89c6d","#675641","https://api.nga.gov/iiif/2a00b09c-16c7-4509-92d8-aa77952c8ab3/full/!200,200/0/default.jpg"
