beginyear,medium,imageurl
1850,print,"https://api.nga.gov/iiif/0ff4694d-9d1d-4aba-8127-d4ff230d89e4/full/!200,200/0/default.jpg"
1513,print,"https://api.nga.gov/iiif/3ec8e39b-f30b-4607-9bad-be7afc52398e/full/!200,200/0/default.jpg"
1834,print,"https://api.nga.gov/iiif/9d4bfa6d-2daa-4864-b908-fe52f189e595/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/45429250-44f1-4928-aa84-2b9e2dc8378b/full/!200,200/0/default.jpg"
1800,drawing,"https://api.nga.gov/iiif/90bdb1d1-d02a-4075-8a00-dbf9071362f7/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/b00d5ec0-b965-4126-873c-e6b6abbb0a3f/full/!200,200/0/default.jpg"
1886,photograph,"https://api.nga.gov/iiif/485fb6e7-d7ae-471b-b003-2328fce8e375/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/e0301059-1c34-4d1a-914c-301164ec9190/full/!200,200/0/default.jpg"
1592,print,"https://api.nga.gov/iiif/1000089c-b3c0-420f-b661-f377666b785e/full/!200,200/0/default.jpg"
1879,print,"https://api.nga.gov/iiif/f1208cb4-12e1-465d-9827-9769c2bcee78/full/!200,200/0/default.jpg"
1550,sculpture,"https://api.nga.gov/iiif/e95eb61c-5aee-4385-89ae-d0b7af5ca384/full/!200,200/0/default.jpg"
1821,drawing,"https://api.nga.gov/iiif/3fc77824-6b09-4454-ae94-e5356da24da0/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/cc100809-9f1f-46dc-9d16-73f4ec281fbd/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/6da8dd75-4151-4a39-ae60-de8adc067784/full/!200,200/0/default.jpg"
1864,photograph,"https://api.nga.gov/iiif/7999f00a-b284-4819-9993-02a6fbf609f5/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/20021f07-e8f0-4c42-8194-3426cdcce8f6/full/!200,200/0/default.jpg"
1890,print,"https://api.nga.gov/iiif/52659bbb-5ab7-4e65-99fd-1bc20abd7e72/full/!200,200/0/default.jpg"
1884,photograph,"https://api.nga.gov/iiif/ef271e22-47a2-4fdc-96bc-2b11e2d1aea3/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/9f827c1f-6e78-4a86-831c-afa9429240e5/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/af0fbe77-55ca-4a76-ab99-2584dc1c1e2f/full/!200,200/0/default.jpg"
1645,print,"https://api.nga.gov/iiif/3a15c3bb-eb23-4dde-961b-014b0d00e855/full/!200,200/0/default.jpg"
1500,painting,"https://api.nga.gov/iiif/8d5e54e2-78be-4d80-b526-700e9746916e/full/!200,200/0/default.jpg"
1500,drawing,"https://api.nga.gov/iiif/da23d467-5ba5-4f88-9026-b7695f7dc519/full/!200,200/0/default.jpg"
1899,print,"https://api.nga.gov/iiif/035325fc-bf77-4da8-82b6-711988849bd2/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/bbae663b-7a3a-4df3-9cd3-785d557d81d4/full/!200,200/0/default.jpg"
1775,print,"https://api.nga.gov/iiif/7411a103-ce7c-4300-866a-a7f27b66082a/full/!200,200/0/default.jpg"
1440,drawing,"https://api.nga.gov/iiif/ad854020-bbd9-4f75-b4ac-eb40b8e9f536/full/!200,200/0/default.jpg"
1860,photograph,"https://api.nga.gov/iiif/eaf2fc1d-7c7a-4674-beb7-8e0d45e470b4/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/170f1713-26b9-4818-91c5-2f3cfe3c6f09/full/!200,200/0/default.jpg"
1894,print,"https://api.nga.gov/iiif/abe6b6ae-c1b3-4641-9e86-583523d2c029/full/!200,200/0/default.jpg"
1800,photograph,"https://api.nga.gov/iiif/234863bf-1684-4025-b7db-afac1d731a2b/full/!200,200/0/default.jpg"
1500,print,"https://api.nga.gov/iiif/fd1d6adc-04b3-474a-8fef-67e2ee2f8096/full/!200,200/0/default.jpg"
1897,print,"https://api.nga.gov/iiif/9a7a4eb4-eac0-4fb4-9f99-1dfe66d95321/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/a1c39128-0ded-4cec-8de3-4f5509b960c5/full/!200,200/0/default.jpg"
1837,drawing,"https://api.nga.gov/iiif/a5190289-a77d-4523-83b9-f8be9dc568c6/full/!200,200/0/default.jpg"
1500,print,"https://api.nga.gov/iiif/dd7048ed-c5e4-477c-91df-a4746c4c4fa1/full/!200,200/0/default.jpg"
1890,drawing,"https://api.nga.gov/iiif/de2bcb3d-8ef9-4281-8515-e6246b3a3fb5/full/!200,200/0/default.jpg"
1860,print,"https://api.nga.gov/iiif/5f19655f-717a-462a-b7c6-080d5efe482a/full/!200,200/0/default.jpg"
1894,print,"https://api.nga.gov/iiif/4a95ae40-4310-4ff1-853a-d96a27f3f246/full/!200,200/0/default.jpg"
1884,print,"https://api.nga.gov/iiif/fc5f852a-e63f-43a4-8e5f-309f69242267/full/!200,200/0/default.jpg"
1480,print,"https://api.nga.gov/iiif/1ed6d84a-8a31-441b-9046-65cffe6db06e/full/!200,200/0/default.jpg"
1892,drawing,"https://api.nga.gov/iiif/19a9ae92-0fa2-4675-916f-5da238b46b98/full/!200,200/0/default.jpg"
1653,print,"https://api.nga.gov/iiif/fcda9d25-0e4c-4cbb-9935-7a60970a8e72/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/1dd807d8-1dac-4aea-8df6-814481857451/full/!200,200/0/default.jpg"
1840,print,"https://api.nga.gov/iiif/4e742ce4-bd6a-4d9c-a441-88e138b96ff8/full/!200,200/0/default.jpg"
1870,drawing,"https://api.nga.gov/iiif/a8bf3654-f515-4618-9a78-783afaf4fca1/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/263991d4-374a-40a6-ab8a-f311e3b04e1e/full/!200,200/0/default.jpg"
1852,sculpture,"https://api.nga.gov/iiif/d54a5870-d858-4176-ba33-3e91d83973e1/full/!200,200/0/default.jpg"
1645,print,"https://api.nga.gov/iiif/84c425c8-00cc-4151-a69e-d0c10285b69e/full/!200,200/0/default.jpg"
1645,print,"https://api.nga.gov/iiif/c446491b-b69f-4b12-bc06-2d00faf07687/full/!200,200/0/default.jpg"
1857,photograph,"https://api.nga.gov/iiif/dd500793-fb21-4799-8902-c38c32eb976f/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/43b2e323-d4ec-4707-a16e-83ee6077f97f/full/!200,200/0/default.jpg"
1500,print,"https://api.nga.gov/iiif/33d3b29d-2beb-4196-83d5-8aec6a46e59f/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/a37d3326-be1d-4e38-8806-03924f8efbfa/full/!200,200/0/default.jpg"
1898,print,"https://api.nga.gov/iiif/5f5b67f5-8aa8-4b63-9e41-00c5edbbe6cd/full/!200,200/0/default.jpg"
1887,print,"https://api.nga.gov/iiif/5556e9a6-ea48-42ae-b61d-878d499bd589/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/17d5aaf2-ed21-4fcc-b879-2386fc507b33/full/!200,200/0/default.jpg"
1854,print,"https://api.nga.gov/iiif/2929fe10-e593-4d40-883f-b94eb0182b2d/full/!200,200/0/default.jpg"
1600,sculpture,"https://api.nga.gov/iiif/98923725-125f-4297-8694-01aea4a8c89b/full/!200,200/0/default.jpg"
