objectid,accessioned,accessionnum,locationid,title,displaydate_x,beginyear,visualbrowserclassification_x,endyear,visualbrowsertimespan,medium,dimensions,inscription,markings,attributioninverted,attribution,provenancetext,creditline,classification_x,subclassification,parentid,isvirtual,departmentabbr,portfolio,series,volume,watermarks,lastdetectedmodification,wikidataid,iiifurl,imageurl
44122,1,1957.14.396,,Christ Appearing to the Apostles,15th century,1400,sculpture,1499,1300 to 1400,gilded bronze//Gilding extensively rubbed,overall: 9.5 x 6.4 cm (3 3/4 x 2 1/2 in.) gross weight: 126 gr,,,Venetian 15th Century,Venetian 15th Century,"Gustave Dreyfus [1837-1914], Paris; his estate; purchased 1930 by (Duveen Brothers, Inc., London and New York); purchased 1945 by the Samuel H. Kress Foundation, New York; gift 1957 to NGA.",Samuel H. Kress Collection,Sculpture,Plaquette,,0,CSD,,,,,2023-05-09 17:01:03.48-04,Q63814812,https://api.nga.gov/iiif/93cceae1-41a7-4191-b8e1-9aeabacffc15,"https://api.nga.gov/iiif/93cceae1-41a7-4191-b8e1-9aeabacffc15/full/!800,800/0/default.jpg"
43895,1,1957.14.175,5606,Augustus,15th century,1400,sculpture,1499,1300 to 1400,bronze//Dark brown patina,"overall (irregular oval): 4.65 x 3.16 cm (1 13/16 x 1 1/4 in.)
gross weight: 33.21 gr (0.073 lb.)",,Reverse formerly bore previous inventory number 51 in yellow paint (Ricci 1931)); numerals removed in 1982 cleaning.,"Florentine 15th Century, after the Antique","Florentine 15th Century, after the Antique","Gustave Dreyfus [1837-1914], Paris; his estate; purchased 1930 by (Duveen Brothers, Inc., London and New York); purchased 1945 by the Samuel H. Kress Foundation, New York; gift 1957 to NGA.",Samuel H. Kress Collection,Sculpture,Plaquette,,0,CSD,,,,,2023-05-09 17:01:03.48-04,Q63814746,https://api.nga.gov/iiif/56890ebe-1a0a-4f7a-84f3-558376bf5c9e,"https://api.nga.gov/iiif/56890ebe-1a0a-4f7a-84f3-558376bf5c9e/full/!800,800/0/default.jpg"
43865,1,1957.14.145,,A Sphinx to Right,15th century,1400,sculpture,1499,1300 to 1400,bronze//Dark red-brown patina,overall (silhouetted contour): 6.5 x 7.1 cm (2 9/16 x 2 13/16 in.) gross weight: 75 gr,,,Florentine 15th Century,Florentine 15th Century,"Gustave Dreyfus [1837-1914], Paris; his estate; purchased 1930 by (Duveen Brothers, Inc., London and New York); purchased 1945 by the Samuel H. Kress Foundation, New York; gift 1957 to NGA.",Samuel H. Kress Collection,Sculpture,Applique,,0,CSD,,,,,2023-05-09 17:01:03.48-04,Q63814716,https://api.nga.gov/iiif/44fef87b-a334-445e-9ac3-c9dfafb6ef92,"https://api.nga.gov/iiif/44fef87b-a334-445e-9ac3-c9dfafb6ef92/full/!800,800/0/default.jpg"
44082,1,1957.14.357,5609,Madonna and Child between Two Candelabra,,1400,sculpture,1499,1300 to 1400,bronze//Medium brown patina,"overall (with finial): 12.15 x 8.62 cm (4 13/16 x 3 3/8 in.)
overall (height without finial): 9.68 cm (3 13/16 in.)
gross weight: 266.83 gr (0.588 lb.)",,"Reverse bears former pricing code 162 / AM / M in black ink (unidentified dealer), as well as former inventory numbers 367 in beige paint (unidentified collection), canceled with stroke of red paint; 253 in red paint (Dreyfus); and 233 in yellow paint (Ricci 1931).",Paduan 15th Century,Paduan 15th Century,"Gustave Dreyfus [1837-1914], Paris; his estate; purchased 1930 by (Duveen Brothers, Inc., London and New York); purchased 1945 by the Samuel H. Kress Foundation, New York; gift 1957 to NGA.",Samuel H. Kress Collection,Sculpture,Plaquette,,0,CSD,,,,,2023-05-09 17:01:03.48-04,Q63814776,https://api.nga.gov/iiif/37b7f359-b5f2-4089-bc00-f90720fc0b04,"https://api.nga.gov/iiif/37b7f359-b5f2-4089-bc00-f90720fc0b04/full/!800,800/0/default.jpg"
44278,1,1957.14.558,,The Virgin and Child on a Crescent Moon,15th century,1400,sculpture,1499,1300 to 1400,bronze//Light brown patina,"overall: 10.14 x 6.24 cm (4 x 2 7/16 in.)
gross weight: 106 gr (0.234 lb.)",,Reverse bears former inventory numbers 417 in red paint (Dreyfus) and 424 in yellow paint (Ricci 1931).,Flemish 15th Century,Flemish 15th Century,"Gustave Dreyfus [1837-1914], Paris; his estate; purchased 1930 by (Duveen Brothers, Inc., London and New York); purchased 1945 by the Samuel H. Kress Foundation, New York; gift 1957 to NGA.",Samuel H. Kress Collection,Sculpture,Plaquette,,0,CSD,,,,,2023-05-09 17:01:03.48-04,Q63814912,https://api.nga.gov/iiif/e63eab5b-c6c9-4f35-95d0-70e0a516af9c,"https://api.nga.gov/iiif/e63eab5b-c6c9-4f35-95d0-70e0a516af9c/full/!800,800/0/default.jpg"
43894,1,1957.14.174,9032,The Triumph of Chastity,15th century,1400,sculpture,1499,1300 to 1400,bronze//Light brown patina,"overall (diameter): 3.11 cm (1 1/4 in.)
gross weight: 13.56 gr (0.03 lb.)","in exergue, in relief, partly effaced by casting irregularity (at 6:30) and by wear: IO[HANNES].F[ONDULINI].F[ONDULI]. (Giovanni di Fondulini Fonduli)",Reverse bears former inventory numbers 451 in black paint (unidentified collection) and 50 in yellow paint (Ricci 1931).,Florentine 15th Century,Florentine 15th Century,"Gustave Dreyfus [1837-1914], Paris; his estate; purchased 1930 by (Duveen Brothers, Inc., London and New York); purchased 1945 by the Samuel H. Kress Foundation, New York; gift 1957 to NGA.",Samuel H. Kress Collection,Sculpture,Plaquette,,0,CSD,,,,,2023-05-09 17:01:03.48-04,Q63814745,https://api.nga.gov/iiif/2b73c8db-654f-4d00-a301-1f49dfa69cf3,"https://api.nga.gov/iiif/2b73c8db-654f-4d00-a301-1f49dfa69cf3/full/!800,800/0/default.jpg"
43862,1,1957.14.142,,The Virgin and Child,15th century,1400,sculpture,1499,1300 to 1400,bronze//Light brown patina,"overall: 13.23 x 8.49 cm (5 3/16 x 3 5/16 in.)
gross weight: 458.8 gr (1.011 lb.)",,Reverse bears former inventory numbers 315 in red paint (Dreyfus) and 18 in yellow paint (Ricci 1931).,Florentine 15th Century,Florentine 15th Century,"Gustave Dreyfus [1837-1914], Paris; his estate; purchased 1930 by (Duveen Brothers, Inc., London and New York); purchased 1945 by the Samuel H. Kress Foundation, New York; gift 1957 to NGA.",Samuel H. Kress Collection,Sculpture,Plaquette,,0,CSD,,,,,2023-05-09 17:01:03.48-04,Q63814713,https://api.nga.gov/iiif/33d54570-4c41-49e9-b125-45c56fa4b892,"https://api.nga.gov/iiif/33d54570-4c41-49e9-b125-45c56fa4b892/full/!800,800/0/default.jpg"
43873,1,1957.14.153,5606,Hermaphrodite and Three Cupids,15th century,1400,sculpture,1499,1300 to 1400,bronze//Dark brown patina,"overall (oval): 3.1 x 3.67 cm (1 1/4 x 1 7/16 in.)
gross weight: 18.91 gr (0.019 kg)",,Reverse bears former inventory numbers 7 (?) in red paint (Dreyfus) and 29 in yellow paint (Ricci 1931).,Florentine 15th Century,Florentine 15th Century,"Gustave Dreyfus [1837-1914], Paris; his estate; purchased 1930 by (Duveen Brothers, Inc., London and New York); purchased 1945 by the Samuel H. Kress Foundation, New York; gift 1957 to NGA.",Samuel H. Kress Collection,Sculpture,Plaquette,,0,CSD,,,,,2023-05-09 17:01:03.48-04,Q63814724,https://api.nga.gov/iiif/bd539132-0afa-4e10-bf26-dc51eb0a13bd,"https://api.nga.gov/iiif/bd539132-0afa-4e10-bf26-dc51eb0a13bd/full/!800,800/0/default.jpg"
43884,1,1957.14.164,5606,A Warrior Fighting a Horseman,15th century,1400,sculpture,1499,1300 to 1400,bronze//Medium brown patina,"overall: 3.99 x 5.33 cm (1 9/16 x 2 1/8 in.)
gross weight: 27.03 gr (0.06 lb.)",,"Reverse bears illegible traces of former inventory number in red paint (Dreyfus) and 40 in yellow paint (Ricci 1931).

","Roman 15th or 16th Century, after the Antique","Roman 15th or 16th Century, after the Antique","Gustave Dreyfus [1837-1914], Paris; his estate; purchased 1930 by (Duveen Brothers, Inc., London and New York); purchased 1945 by the Samuel H. Kress Foundation, New York; gift 1957 to NGA.",Samuel H. Kress Collection,Sculpture,Plaquette,,0,CSD,,,,,2023-05-09 17:01:03.48-04,Q63814734,https://api.nga.gov/iiif/52d242ed-2e0b-4b09-b77c-39efba7d14a4,"https://api.nga.gov/iiif/52d242ed-2e0b-4b09-b77c-39efba7d14a4/full/!800,800/0/default.jpg"
43876,1,1957.14.156,5606,Hercules and the Nemean Lion,15th century,1400,sculpture,1499,1300 to 1400,bronze//Dark brown patina,"overall: 3.62 × 2.5 cm (1 7/16 × 1 in.)
gross weight: 20.95 gr (0.046 lb.)",,Reverse formerly bore previous inventory number 32 in yellow paint (Ricci 1931); numerals removed in 1982 cleaning.,"Italian 15th Century, after the Antique","Italian 15th Century, after the Antique","Gustave Dreyfus [1837-1914], Paris; his estate; purchased 1930 by (Duveen Brothers, Inc., London and New York); purchased 1945 by the Samuel H. Kress Foundation, New York; gift 1957 to NGA.",Samuel H. Kress Collection,Sculpture,Plaquette,,0,CSD,,,,,2023-05-09 17:01:03.48-04,Q63814727,https://api.nga.gov/iiif/84d70ddf-1c92-452a-8d1e-0b3604e2f4b5,"https://api.nga.gov/iiif/84d70ddf-1c92-452a-8d1e-0b3604e2f4b5/full/!800,800/0/default.jpg"
