beginyear,medium,imageurl,colors,hex_color
1480,print,"https://api.nga.gov/iiif/52160af2-2740-45e3-8943-db47be28f26b/full/!200,200/0/default.jpg",[ 52  98 159 120 167 203 145 192 224 210 237 249  72 123 185],#34629f
1470,sculpture,"https://api.nga.gov/iiif/96c49c5c-3ebb-46f0-a979-45f7ad063340/full/!200,200/0/default.jpg",[  0   1   2 121 152 177  30  56  80  18  33  47  71  96 117],#000102
1475,sculpture,"https://api.nga.gov/iiif/8b98d5e5-81ce-4ba8-bba6-58dd025d79b6/full/!200,200/0/default.jpg",[126 142 158 175 189 197   1   1   1  39  62  95  58  84 118],#7e8e9e
1470,print,"https://api.nga.gov/iiif/513ddfd6-dddc-49c1-b844-9753691bb441/full/!200,200/0/default.jpg",[110 130 147 135 158 176 161 186 204  79  95 109 184 209 227],#6e8293
1450,sculpture,"https://api.nga.gov/iiif/a4330c6b-a872-4dda-9549-1fdbbdbbda21/full/!200,200/0/default.jpg",[115 128 145  82  95 112  56  71  90   4   3   2  37  53  74],#738091
1485,print,"https://api.nga.gov/iiif/53e0b6e7-e019-4aa4-ae3a-61108ebda2a6/full/!200,200/0/default.jpg",[111 121 129  46  54  62  80  89  98 187 202 213 147 157 165],#6f7981
1470,print,"https://api.nga.gov/iiif/cf84131f-a128-4b24-acfc-ed175f5bf853/full/!200,200/0/default.jpg",[ 71  97 118 177 216 240 130 164 189 154 192 218 101 132 156],#476176
1480,print,"https://api.nga.gov/iiif/ebcd2bd5-010c-4d69-8dd7-3e7bd29a2655/full/!200,200/0/default.jpg",[ 76 105 157 183 206 217  62  85 122  39  56  83 107 135 174],#4c699d
1475,sculpture,"https://api.nga.gov/iiif/ba21b9cc-17da-4ead-b765-816331d82e58/full/!200,200/0/default.jpg",[ 54  77 100  26  44  61   1   0   1  37  59  79 109 138 148],#364d64
1470,print,"https://api.nga.gov/iiif/cf84131f-a128-4b24-acfc-ed175f5bf853/full/!200,200/0/default.jpg",[ 71  97 118 177 216 240 130 164 189 154 192 218 101 132 156],#476176
1450,sculpture,"https://api.nga.gov/iiif/27eeabd7-b7cc-43e0-ad99-0afce3b3ba53/full/!200,200/0/default.jpg",[  0   0   0  88 116 134  26  41  58  36  54  76  50  68  93],#000000
1400,sculpture,"https://api.nga.gov/iiif/06070b90-905a-4555-95f8-c86f4e80c111/full/!200,200/0/default.jpg",[ 26  37  46  61  83 100   1   2   1  40  58  73 109 129 146],#1a252e
1480,print,"https://api.nga.gov/iiif/5e920ebe-6908-4ca8-96e0-36baf7ccee03/full/!200,200/0/default.jpg",[ 58  97 220 194 229 248 109 150 185 144 193 235  73 106 135],#3a61dc
1480,print,"https://api.nga.gov/iiif/14ba07af-9e2a-4e98-bc1d-df9db3607f5b/full/!200,200/0/default.jpg",[124 143 157 155 177 192 182 207 222  89 106 120 195 219 233],#7c8f9d
1475,sculpture,"https://api.nga.gov/iiif/036b9c3c-d65e-429b-81ae-327a02329c0b/full/!200,200/0/default.jpg",[ 79  87  86   1   1   2  60  66  66  97 107 103 117 130 125],#4f5756
1480,sculpture,"https://api.nga.gov/iiif/b4044623-033b-499b-9b9f-4079d5a07e35/full/!200,200/0/default.jpg",[ 51  88 122 143 183 207  72 119 161   0   0   1 101 147 182],#33587a
1480,print,"https://api.nga.gov/iiif/773b8c69-0e25-493d-8ebb-745a30250abb/full/!200,200/0/default.jpg",[ 56 104 199 134 171 207  99 133 160 181 220 243  57  87 116],#3868c7
1480,print,"https://api.nga.gov/iiif/ac668ca7-2cea-4c9f-82b2-d72c0847e535/full/!200,200/0/default.jpg",[ 70  92 116 131 168 199 176 216 240  49  66  88  97 125 153],#465c74
1400,drawing,"https://api.nga.gov/iiif/98ff3282-f5d7-4e6f-a7ff-7980779e5fbf/full/!200,200/0/default.jpg",[143 167 194  78  99 121 114 136 159 203 225 239 161 189 214],#8fa7c2
1470,print,"https://api.nga.gov/iiif/ee04fbc5-37a5-42bf-b9d8-88fc18a1462b/full/!200,200/0/default.jpg",[207 230 241  63  75  87 155 183 202 126 149 165  95 112 127],#cfe6f1
1465,print,"https://api.nga.gov/iiif/a6273cf2-ce18-4367-958d-e1b3b0d45360/full/!200,200/0/default.jpg",[105 124 136 160 181 195 187 208 219 125 144 158 143 163 178],#697c88
1450,sculpture,"https://api.nga.gov/iiif/256288b5-1da3-4bb7-9ebe-b4b0fccfd42a/full/!200,200/0/default.jpg",[  0   0   0  50  70 101  83 101 128 131 151 175  34  50  76],#000000
1475,sculpture,"https://api.nga.gov/iiif/e32a713d-4a51-46ee-9a70-23b955315d97/full/!200,200/0/default.jpg",[106 132 162  71  96 127   0   0   1  24  47  74  44  68 100],#6a84a2
1480,sculpture,"https://api.nga.gov/iiif/b4044623-033b-499b-9b9f-4079d5a07e35/full/!200,200/0/default.jpg",[ 51  88 122 143 183 207  72 119 161   0   0   1 101 147 182],#33587a
1480,decorative art,"https://api.nga.gov/iiif/a7228d10-8211-4da5-987d-1c8e55383c3b/full/!200,200/0/default.jpg",[ 65 106 131 152 153 149  58  62  46 118 115  83 210 211 189],#416a83
1450,print,"https://api.nga.gov/iiif/add7427c-4669-448f-b906-195d6cc988fb/full/!200,200/0/default.jpg",[137 158 172  65  77  90 100 116 130 177 202 218 213 235 246],#899eac
1475,sculpture,"https://api.nga.gov/iiif/61976ad0-f15a-4aec-bcda-c8475f7cfd8a/full/!200,200/0/default.jpg",[ 11  11  11  65  77  88  89 102 116 121 138 154  42  50  58],#0b0b0b
1470,print,"https://api.nga.gov/iiif/3efab3ee-55af-47a6-a8ce-7a8b727c0e7a/full/!200,200/0/default.jpg",[202 232 244  55  74  91  84 110 131 145 181 204 113 145 168],#cae8f4
1475,sculpture,"https://api.nga.gov/iiif/18607639-c6f9-4661-9c76-df3bb9056d7d/full/!200,200/0/default.jpg",[ 36  78 126 112 150 182   1   1   2  45 100 158  28  60  98],#244e7e
1400,sculpture,"https://api.nga.gov/iiif/1f0a85b3-9223-4555-ac3e-53f0680099ec/full/!200,200/0/default.jpg",[ 61  74  87   1   1   1  41  52  64  81  96 109 136 151 150],#3d4a57
1475,sculpture,"https://api.nga.gov/iiif/2311d0de-d9ed-44f1-b5f5-c836fc7c1997/full/!200,200/0/default.jpg",[ 58  79 104  37  52  68 149 169 184  44  64  87   1   1   1],#3a4f68
1475,sculpture,"https://api.nga.gov/iiif/356e7f55-795d-47d8-8fbe-40bbd2fb1e97/full/!200,200/0/default.jpg",[109 143 171   1   1   2  34  60  82  71 104 133  50  80 107],#6d8fab
1470,sculpture,"https://api.nga.gov/iiif/807c1c2a-2f5b-4339-913b-f7123e952b23/full/!200,200/0/default.jpg",[ 35  66  94  46  78 106 126 147 166   1   1   1  74 100 121],#23425e
1465,print,"https://api.nga.gov/iiif/2ddc6d93-6c41-4bb6-ae2e-10c3bc7e9d9d/full/!200,200/0/default.jpg",[188 213 225 155 180 196 102 124 139 122 144 160 140 163 180],#bcd5e1
1490,print,"https://api.nga.gov/iiif/3b647a72-78d2-4212-bbec-4a4598e0d142/full/!200,200/0/default.jpg",[192 224 241 112 138 155 138 166 183  75  97 113 164 193 211],#c0e0f1
1470,print,"https://api.nga.gov/iiif/03cbcd2c-926f-4f49-863a-b817c840c38f/full/!200,200/0/default.jpg",[127 157 169 168 195 207  95 128 140  72 101 110  56  79  86],#7f9da9
1496,print,"https://api.nga.gov/iiif/2bc7e7c8-c74a-4ab0-870b-374f65c8f5a4/full/!200,200/0/default.jpg",[ 99 113 126 126 142 155 157 174 188 196 214 229  73  86  98],#63717e
1480,print,"https://api.nga.gov/iiif/c6a9ad57-48b7-44ac-9291-e134505406ef/full/!200,200/0/default.jpg",[172 185 194  63  72  80 120 132 140 152 164 173  91 100 109],#acb9c2
1480,print,"https://api.nga.gov/iiif/3d4b6913-ecfb-44fe-9065-3cf140321ee6/full/!200,200/0/default.jpg",[195 236 248  70 117 193  71  87 100 114 143 153 152 189 211],#c3ecf8
1480,print,"https://api.nga.gov/iiif/a602e0c4-45f0-4a95-9a46-6db7299a04b5/full/!200,200/0/default.jpg",[190 209 220  51  57  64 151 166 178 120 133 143  81  90  99],#bed1dc
1470,print,"https://api.nga.gov/iiif/d3ffa2f4-d4b3-4a0f-98bd-693959b915c6/full/!200,200/0/default.jpg",[115 169 203 144 193 226  55  85 145  78 130 121  90 137 168],#73a9cb
1480,print,"https://api.nga.gov/iiif/ceff9b46-1de1-4a52-9a2e-e60480bbaa3e/full/!200,200/0/default.jpg",[182 201 214 115 130 142 214 235 247 148 165 177  80  93 104],#b6c9d6
1475,sculpture,"https://api.nga.gov/iiif/e5204120-4862-42e3-8d2d-35904bab2551/full/!200,200/0/default.jpg",[ 15  38  61  54  83 107  78 108 136  33  59  86   0   0   1],#0f263d
1480,print,"https://api.nga.gov/iiif/8f6129ff-4993-4305-8aa9-36ed09b29840/full/!200,200/0/default.jpg",[213 240 251  62  81 110  76 107 148 147 189 217 101 140 179],#d5f0fb
1450,print,"https://api.nga.gov/iiif/b5c5cf58-ad62-43bc-91bf-9a6f64b490af/full/!200,200/0/default.jpg",[ 53  82  93  37  50  62  43  65  76  85 116 125  30  39  49],#35525d
1450,sculpture,"https://api.nga.gov/iiif/36473e61-f76f-41ba-b2e6-c89973caf6fa/full/!200,200/0/default.jpg",[124 140 154  50  67  81   6   4   5  32  45  55  82  97 111],#7c8c9a
1480,print,"https://api.nga.gov/iiif/711012e8-36a8-4b3c-b912-39b4cbe3c89f/full/!200,200/0/default.jpg",[154 172 180  76  91  99 176 198 208 129 146 154 104 120 128],#9aacb4
1480,print,"https://api.nga.gov/iiif/c32dec97-8524-466e-9175-15d6e3e4855c/full/!200,200/0/default.jpg",[102 126 143 137 165 183  65  83  97 188 219 238 165 197 217],#667e8f
1480,print,"https://api.nga.gov/iiif/52160af2-2740-45e3-8943-db47be28f26b/full/!200,200/0/default.jpg",[ 52  98 159 120 167 203 145 192 224 210 237 249  72 123 185],#34629f
1470,sculpture,"https://api.nga.gov/iiif/0c0cbe70-ba1c-427c-bccb-0a5dbf8561bf/full/!200,200/0/default.jpg",[  2   1   1  72  92 117 117 141 169  29  43  64  44  61  86],#020101
1480,print,"https://api.nga.gov/iiif/24d7d34a-cb52-41c1-856a-8a721ca34e6b/full/!200,200/0/default.jpg",[ 66  84 102 128 152 173 178 209 229 101 123 142 152 179 202],#425466
1400,sculpture,"https://api.nga.gov/iiif/fb3bb4d7-a62f-467d-b91c-4d65ddca2548/full/!200,200/0/default.jpg",[ 42  61  83  28  42  60   0   0   1  71  89 105 121 141 153],#2a3d53
1465,sculpture,"https://api.nga.gov/iiif/bdf69215-64ca-47a9-8b2c-a91e76009bf1/full/!200,200/0/default.jpg",[ 39  57  82  91 112 138  59  80 107   0   0   1 135 157 182],#273952
1475,sculpture,"https://api.nga.gov/iiif/166f5600-9962-4ffd-b227-56f416276c47/full/!200,200/0/default.jpg",[ 41  58  67  32  46  52  72  94 103   1   1   1  57  72  76],#293a43
1400,sculpture,"https://api.nga.gov/iiif/eef8800d-bf31-493d-9d36-4286475939c7/full/!200,200/0/default.jpg",[116 125 140  88  94 106  11  12  12  63  67  76  44  42  45],#747d8c
1450,sculpture,"https://api.nga.gov/iiif/b55d89a7-1459-47b6-a886-ff13ae3dda5a/full/!200,200/0/default.jpg",[ 54  57  60 166 167 167 137 137 138 195 196 196 221 221 222],#36393c
1470,drawing,"https://api.nga.gov/iiif/942425d5-018d-44a9-ba87-dfb0057226b7/full/!200,200/0/default.jpg",[177 194 207 211 221 232 225 243 252 199 211 223 220 228 239],#b1c2cf
1480,print,"https://api.nga.gov/iiif/47bcd7e5-81e5-41b6-a0d0-37e84dd19491/full/!200,200/0/default.jpg",[194 225 233 102 155 207 157 118  20  74  90  96 178 181 146],#c2e1e9
1450,sculpture,"https://api.nga.gov/iiif/1e277811-9073-4836-b9c6-fc35165ec4aa/full/!200,200/0/default.jpg",[ 61  64  63 101 106 105 129 131 130  81  85  84 213 213 213],#3d403f
1475,sculpture,"https://api.nga.gov/iiif/4fe27dc9-e4c8-4b91-9196-e97b5b207c01/full/!200,200/0/default.jpg",[ 57  66  79 134 144 158   4   3   3  30  37  49  91 101 113],#39424f
1450,sculpture,"https://api.nga.gov/iiif/74577e5f-0894-4966-b574-73a5314411f3/full/!200,200/0/default.jpg",[ 56 112 164   1   2   1 105 139 168  49  95 142  41  78 117],#3870a4
1450,painting,"https://api.nga.gov/iiif/a21cc457-7ddf-4c4d-9934-8039bc919864/full/!200,200/0/default.jpg",[154 170 169  42  40 106  80  89 157  53  55  27 120 116  65],#9aaaa9
1400,sculpture,"https://api.nga.gov/iiif/2d771805-355a-415f-bbe1-de2975d5cc3d/full/!200,200/0/default.jpg",[133 145 162  95 107 124  49  59  71   0   0   0  68  79  94],#8591a2
1475,sculpture,"https://api.nga.gov/iiif/b56d1857-13d0-4022-a985-c7cdfd91f365/full/!200,200/0/default.jpg",[ 62  82  96  28  41  50  44  60  72   1   1   2  93 113 128],#3e5260
1480,print,"https://api.nga.gov/iiif/59782f5f-3f30-45c7-bf9e-e25b62ae51ec/full/!200,200/0/default.jpg",[129 141 112 177 216 237 123 177 206  82 123 182  62  86 118],#818d70
1470,sculpture,"https://api.nga.gov/iiif/a6f20d0f-6223-46fd-8df0-01945a503852/full/!200,200/0/default.jpg",[ 73  87  99  51  62  71 107 122 137 152 165 180   1   1   1],#495763
1473,sculpture,"https://api.nga.gov/iiif/92e5f846-2dbf-4e56-b389-d66eb882f94e/full/!200,200/0/default.jpg",[ 54  63  74 129 137 150   1   0   1  71  79  89  97 105 116],#363f4a
1400,sculpture,"https://api.nga.gov/iiif/21456ee0-c741-49a4-95ab-fada3bdcd18e/full/!200,200/0/default.jpg",[ 24  38  50   1   1   2  86 104 120  60  77  91  41  57  71],#182632
1475,sculpture,"https://api.nga.gov/iiif/cb91f4d0-5854-4a73-8b5c-3fd78ae63320/full/!200,200/0/default.jpg",[110 126 143  81  97 114   2   2   2  45  55  60  61  74  84],#6e7e8f
1425,sculpture,"https://api.nga.gov/iiif/f491ed46-842d-418b-ae90-b7b542d24199/full/!200,200/0/default.jpg",[ 78  90 107 129 138 153  48  63  82  33  46  61   1   2   1],#4e5a6b
1480,print,"https://api.nga.gov/iiif/8a793092-407b-44a5-b92b-bdd11b37b0a8/full/!200,200/0/default.jpg",[ 52  74  90 140 175 195 186 218 233  81 110 125 109 143 158],#344a5a
1470,print,"https://api.nga.gov/iiif/d28fb04f-612d-4de6-ac96-53e317d1e9c3/full/!200,200/0/default.jpg",[ 58  91 115 113 156 178 195 226 239 142 191 213  87 125 147],#3a5b73
1480,print,"https://api.nga.gov/iiif/a52235d6-18eb-4ab1-8145-630d1dee18ef/full/!200,200/0/default.jpg",[166 205 231 120 152 175  75  96 114 143 179 204  99 126 147],#a6cde7
1460,print,"https://api.nga.gov/iiif/d4f8c154-903b-4ffd-9642-c529bdc7e12a/full/!200,200/0/default.jpg",[ 53  83 106  79 114 137 134 182 203 188 221 236 103 145 167],#35536a
1450,sculpture,"https://api.nga.gov/iiif/d0a7b9b0-b6cc-4706-bdeb-4d79ae5c1e41/full/!200,200/0/default.jpg",[182 182 182 144 144 145  42  46  50 215 215 215 109 110 111],#b6b6b6
1470,sculpture,"https://api.nga.gov/iiif/b7e69dc0-8f18-432c-988f-2137ae64496d/full/!200,200/0/default.jpg",[  1   1   1  76 105 143  56  81 110  29  50  76  39  63  93],#010101
1475,sculpture,"https://api.nga.gov/iiif/05251221-31d8-4c7f-920d-d9c7b76888db/full/!200,200/0/default.jpg",[ 61  77  91  41  56  71   1   1   2  92 110 122  27  40  53],#3d4d5b
1400,sculpture,"https://api.nga.gov/iiif/0e9d3710-91bb-4542-8921-c9b1a5875188/full/!200,200/0/default.jpg",[114 119 122 206 210 212 143 148 151  82  91  98 175 180 183],#72777a
1400,painting,"https://api.nga.gov/iiif/c9c0f26e-a559-43ab-b517-0384e347ade8/full/!200,200/0/default.jpg",[100 161 205  67 133 186  45  65  68  41  82 155  91 117 128],#64a1cd
1480,print,"https://api.nga.gov/iiif/3870affc-5071-447f-86a3-89b7f0612ab3/full/!200,200/0/default.jpg",[117 134 148  98 115 129 135 154 168 186 205 213 156 175 190],#758694
1480,print,"https://api.nga.gov/iiif/03c90d44-5e05-4eea-bf1b-0355615eeee3/full/!200,200/0/default.jpg",[ 66  76  86 129 149 165  83  95 105 104 119 132 197 216 224],#424c56
1490,print,"https://api.nga.gov/iiif/979d294f-f9c1-4e83-95c1-9530d0e7aa6c/full/!200,200/0/default.jpg",[ 76  90 106 154 178 196 100 118 134 185 211 229 126 147 164],#4c5a6a
1475,sculpture,"https://api.nga.gov/iiif/da9df55d-4d52-4085-8754-6f17f3aceede/full/!200,200/0/default.jpg",[ 11  12  12  84  91 101  45  47  52  64  68  75 111 130 145],#0b0c0c
1475,sculpture,"https://api.nga.gov/iiif/12d96f49-affe-43a1-8557-9e1c2879320f/full/!200,200/0/default.jpg",[  1   1   1  99 120 140  64  87 107 145 164 183  46  67  85],#010101
1470,painting,"https://api.nga.gov/iiif/8788f9a6-142d-40b7-953b-a9a208ff2eef/full/!200,200/0/default.jpg",[ 37  66  84  89  68  36  71 107 138 143 129 109 180 193 198],#254254
1450,print,"https://api.nga.gov/iiif/bd581c62-3aba-4782-b4e5-681a27a9566f/full/!200,200/0/default.jpg",[ 51  65  79 149 182 205  81 101 118 208 231 244 108 138 162],#33414f
1480,print,"https://api.nga.gov/iiif/3a8f7172-eaa6-45fc-bf6e-7a468e33cd72/full/!200,200/0/default.jpg",[ 60  73  84 119 138 152 138 160 176  89 105 117 177 197 211],#3c4954
1460,print,"https://api.nga.gov/iiif/354c5e12-9354-42b6-961f-093bdfbb4ada/full/!200,200/0/default.jpg",[ 80 110 132 139 175 196  54  80 102 108 142 163 181 215 232],#506e84
1450,print,"https://api.nga.gov/iiif/76f982fd-22cb-4fdd-a8e6-4b148cf4ff67/full/!200,200/0/default.jpg",[ 87 115 139  51  75  98 123 153 177 159 193 214 192 222 237],#57738b
1475,sculpture,"https://api.nga.gov/iiif/936fe45e-0035-44bc-a01e-35b590727371/full/!200,200/0/default.jpg",[ 38  42  41 114 120 117  76  82  78 195 195 194 177 177 177],#262a29
1490,drawing,"https://api.nga.gov/iiif/176ba39d-b0e3-4a8f-8e96-23dc3a9f4afb/full/!200,200/0/default.jpg",[134 177 208  86 128 166 106 149 185 146 202 227 122 164 197],#86b1d0
1475,print,"https://api.nga.gov/iiif/3313c985-b93e-4ad4-9c5e-58bc1b9e1c23/full/!200,200/0/default.jpg",[130 145 157 190 209 219  99 111 123 160 176 189  73  82  92],#82919d
1475,print,"https://api.nga.gov/iiif/8bcd5195-fbc6-4a44-9f8d-28ba059e52da/full/!200,200/0/default.jpg",[188 219 236 109 137 139  71  90 168 158 181 190  53  73  90],#bcdbec
1400,print,"https://api.nga.gov/iiif/2fb6fc58-ec60-46a5-8c39-f817e9c2058b/full/!200,200/0/default.jpg",[140 165 185 107 129 147  69  89 106 163 192 213 178 209 230],#8ca5b9
1450,sculpture,"https://api.nga.gov/iiif/98f263d0-27af-400a-9cd1-cc09191bcef9/full/!200,200/0/default.jpg",[ 62  86 114  39  56  78   0   0   0  97 128 160  19  29  42],#3e5672
1490,drawing,"https://api.nga.gov/iiif/4e51caba-e7ca-4096-842d-cbea09538da5/full/!200,200/0/default.jpg",[220 243 250 183 213 231 132 169 199 161 194 218 101 139 174],#dcf3fa
1400,sculpture,"https://api.nga.gov/iiif/bec571b2-3646-44ed-ae9d-e34efd99c3f0/full/!200,200/0/default.jpg",[ 49  81 131   0   0   1  73 106 151  36  62 105 111 144 184],#315183
1480,print,"https://api.nga.gov/iiif/276893af-872c-4fc3-9ccd-f9749cbe7d5e/full/!200,200/0/default.jpg",[166 198 219  96 113 128 134 157 176  60  70  82 206 237 250],#a6c6db
1490,print,"https://api.nga.gov/iiif/1398e4b0-2ecd-4da7-bc07-e7c67969b374/full/!200,200/0/default.jpg",[ 54  81 104 102 133 167 167 204 230  81 107 139 127 165 193],#365168
1490,print,"https://api.nga.gov/iiif/3c4b7adc-cdf7-4c2b-8d77-609bcbce454f/full/!200,200/0/default.jpg",[188 215 229 132 154 170  84  96 108 159 184 201 106 123 137],#bcd7e5
1450,drawing,"https://api.nga.gov/iiif/6006bbfb-c973-4d3e-80df-3324ecbacb2d/full/!200,200/0/default.jpg",[ 93 112 139 161 197 223 128 168 199 209 231 241  65  78  91],#5d708b
1480,print,"https://api.nga.gov/iiif/9f73cbb3-8c3d-42a5-b534-be44aa29d810/full/!200,200/0/default.jpg",[198 220 234 133 151 165  76  89 101 107 123 136 160 179 194],#c6dcea
1480,decorative art,"https://api.nga.gov/iiif/af553f55-32f3-47df-8df3-b996c4b560bc/full/!200,200/0/default.jpg",[212 213 213 111 117 112 167 169 169  66  68  58 191 192 191],#d4d5d5
1480,sculpture,"https://api.nga.gov/iiif/35b8c046-f482-4d46-a5b9-1072a0224338/full/!200,200/0/default.jpg",[121 134 150   1   1   2  58  71  86  35  46  59  83  97 114],#798696
1480,sculpture,"https://api.nga.gov/iiif/e61f4c6f-2554-444a-b293-2ee2a59b17e6/full/!200,200/0/default.jpg",[ 60  72  84  38  48  59  23  30  41   2   1   0  97 108 122],#3c4854
1460,print,"https://api.nga.gov/iiif/e68140e3-2cd0-4baa-b95a-51153e932a62/full/!200,200/0/default.jpg",[112 156 183 185 223 244 158 204 235  79 115 133  68  96 188],#709cb7
1400,sculpture,"https://api.nga.gov/iiif/e94ba103-02a9-4a59-bcc9-1a185261970c/full/!200,200/0/default.jpg",[ 71 144 191  35  84 122  52 109 152   0   1   2 159 199 220],#4790bf
1480,print,"https://api.nga.gov/iiif/09f2ad5c-35b2-4024-9b77-08e178bb8a93/full/!200,200/0/default.jpg",[ 72 111 156  93 122  95 165 205 229  54  66  74 115 159 185],#486f9c
1480,print,"https://api.nga.gov/iiif/9e2c6416-6c06-4774-87c7-4b29ec5d4fc1/full/!200,200/0/default.jpg",[195 223 239 110 131 147 141 165 181  76  92 107 172 198 215],#c3dfef
1498,sculpture,"https://api.nga.gov/iiif/ffd9b608-2d8d-4851-90f8-e05675ba9d3b/full/!200,200/0/default.jpg",[ 75  86  93  51  61  68   0   0   0 108 120 128 149 161 169],#4b565d
1475,sculpture,"https://api.nga.gov/iiif/48a9725e-7408-4d67-b58e-d91e0f050269/full/!200,200/0/default.jpg",[ 81 100 115 117 136 153  35  49  61  57  74  89   1   1   1],#516473
1475,sculpture,"https://api.nga.gov/iiif/e4f32e9c-c253-4468-892a-ff9e02296632/full/!200,200/0/default.jpg",[  0   0   1  46  67  88  79 100 121 125 145 167  26  40  55],#000001
1465,print,"https://api.nga.gov/iiif/a6273cf2-ce18-4367-958d-e1b3b0d45360/full/!200,200/0/default.jpg",[105 124 136 160 181 195 187 208 219 125 144 158 143 163 178],#697c88
1470,sculpture,"https://api.nga.gov/iiif/484e9817-02a0-4f5f-a077-03838179029f/full/!200,200/0/default.jpg",[  0   0   1  82  96 108  57  70  81  33  44  53 122 134 146],#000001
1480,sculpture,"https://api.nga.gov/iiif/14437ba0-2493-4138-a3b5-21e3f4ff92ef/full/!200,200/0/default.jpg",[  2   2   1  79  84  87  52  58  59  99 104 107  65  71  73],#020201
1475,sculpture,"https://api.nga.gov/iiif/1c50a037-6741-4126-970d-a54bc8b966ca/full/!200,200/0/default.jpg",[177 178 178 186 186 187 108 116 128  79  86  97  55  61  71],#b1b2b2
1490,print,"https://api.nga.gov/iiif/e732f037-99ac-4d75-9f6f-08119c535df3/full/!200,200/0/default.jpg",[187 209 219  90 106 119 111 128 142  47  52  59  70  83  95],#bbd1db
1480,sculpture,"https://api.nga.gov/iiif/65e15a24-59a1-4638-9a24-90adf47e92bc/full/!200,200/0/default.jpg",[ 67 110 157 114 157 194   1   2   2  41  84 137  33  63 101],#436e9d
1470,sculpture,"https://api.nga.gov/iiif/5c84fe44-d2f4-47d4-ad34-f2374ccc7231/full/!200,200/0/default.jpg",[125 138 151   1   1   1  89 101 111  58  72  80  36  48  55],#7d8a97
1470,sculpture,"https://api.nga.gov/iiif/c73f61a2-1c0e-4f4b-adb4-d30100120abd/full/!200,200/0/default.jpg",[ 64  80 104  86 101 123  45  61  83   0   0   1 109 125 147],#405068
1483,print,"https://api.nga.gov/iiif/db515404-2d76-4769-ad4a-3d1a796c57db/full/!200,200/0/default.jpg",[135 172 195 157 197 221 176 218 242 111 147 169  83 117 138],#87acc3
1480,sculpture,"https://api.nga.gov/iiif/6f341bd4-f86c-4ddd-89a5-2318ac3f726d/full/!200,200/0/default.jpg",[ 68  86 113   1   1   2  46  61  85 153 171 192 105 122 144],#445671
1472,sculpture,"https://api.nga.gov/iiif/d62e3667-389f-4941-831e-b47e5a637aa7/full/!200,200/0/default.jpg",[ 48  62  70   2   2   1  30  43  49 100 114 125  70  84  93],#303e46
1400,sculpture,"https://api.nga.gov/iiif/7970ef2c-7796-4413-b028-ac5f6b5d6fd0/full/!200,200/0/default.jpg",[ 45  69  91  31  51  68   6   5   4  67  89 109  97 118 137],#2d455b
1475,sculpture,"https://api.nga.gov/iiif/e2de56b6-92a0-4a63-a473-92dde6a230f9/full/!200,200/0/default.jpg",[ 33  39  45  53  61  67   1   1   1  86  93 100 129 136 144],#21272d
